Site	Left	Right	Strand	Genes of transcription unit	Object ID
TU0-13694	2767710	2769486	+	G7368 // G7367	TU0-13694
TU0-13695	2769703	2771615	+	G7372 // G7371 // G7370 // G7369	TU0-13695
TU0-13696	2771840	2772154	-	G7373	TU0-13696
TU0-13697	2772167	2773182	-	G7376	TU0-13697
TU0-13698	2773318	2775021	+	G7377	TU0-13698
TU0-13699	2775919	2777782	+	G7381 // G7380 // G0-10464 // G7379 // G7378	TU0-13699
TU0-13700	2778146	2782726	-	G7382	TU0-13700
TU0-13701	2783065	2783304	-	G7383	TU0-13701
TU0-13702	2784818	2784429	-	G7384	TU0-13702
TU0-13703	2784529	2785011	-	G7385	TU0-13703
TU0-13704	2785762	2785837	-	G7387	TU0-13704
TU0-13705	2786397	2788649	+	G7389	TU0-13705
TU0-13708	2796814	2796786	-	G7395	TU0-13708
TU0-13709	2797085	2797028	-	G7396	TU0-13709
TU0-13710	2797211	2798044	+	G7398 // G7397	TU0-13710
TU0-13711	2800121	2800475	+	G7400	TU0-13711
TU0-13712	2808316	2809493	+	G7403	TU0-13712
TU0-13713	2809617	2810679	+	G7406 // G7405	TU0-13713
TU0-13714	2814883	2816439	-	EG10418	TU0-13714
TU0-13715	2816512	2817503	-	G7408 // G7407	TU0-13715
TU0-13716	2819273	2819146	-	EG11447	TU0-13716
TU0-13718	2824394	2824346	-	G7409	TU0-13718
TU0-13719	2824491	2825576	-	G7410	TU0-13719
TU0-13720	2859760	2860416	+	G7415	TU0-13720
TU0-13721	2861430	2863501	+	G7418 // G7417	TU0-13721
TU0-13722	2863593	2865012	+	G7420 // G7419	TU0-13722
TU0-13723	2865101	2866465	+	G7421	TU0-13723
TU0-13724	2873014	2873337	-	EG12707	TU0-13724
TU0-13725	2884319	2884138	-	G7430 // G7429 // G7428 // G7427 // G7426 // G7425 // EG12845	TU0-13725
TU0-13726	2884553	2887219	-	EG12634	TU0-13726
TU0-13727	2892214	2892579	+	G7431	TU0-13727
TU0-13728	2892657	2894771	+	G7434 // G7433 // G7432	TU0-13728
TU0-13729	2894919	2896555	-	G7436 // G7435	TU0-13729
TU0-13730	2896533	2897870	-	G7437	TU0-13730
TU0-13731	2897964	2899418	-	G7439	TU0-13731
TU0-13732	2899488	2900273	-	G7440	TU0-13732
TU0-13733	2900592	2903374	+	G7442 // EG13174	TU0-13733
TU0-13735	2915043	2915000	-	EG11247	TU0-13735
TU0-13736	2922535	2924113	-	G7450 // G7449 // G7448	TU0-13736
TU0-13737	2924735	2925280	-	G7451	TU0-13737
TU0-13738	2925321	2926196	+	G7452	TU0-13738
TU0-13739	2926308	2927672	+	EG12373	TU0-13739
TU0-13740	2931055	2931810	+	EG12372	TU0-13740
TU0-13741	2943337	2944985	+	G7455 // G7454	TU0-13741
TU0-13742	2945036	2945842	-	G7456	TU0-13742
TU0-13743	2946081	2947178	-	G7457	TU0-13743
TU0-13744	2959011	2958884	-	EG10786 // EG10824 // EG10826	TU0-13744
TU0-13745	2964220	2964177	-	EG12081 // EG11156 // EG11155 // EG11154 // EG10825	TU0-13745
TU0-13746	2968993	2968977	-	G7459 // EG12188	TU0-13746
TU0-13747	2969662	2970351	+	EG10624	TU0-13747
TU0-13748	2970420	2971133	+	G7460	TU0-13748
TU0-13749	2971271	2971489	+	G7461	TU0-13749
TU0-13750	2971597	2972637	+	G7462	TU0-13750
TU0-13751	2972669	2976014	-	EG11679 // EG12455	TU0-13751
TU0-13754	2979943	2980635	-	EG11157	TU0-13754
TU0-13755	2982497	2983258	-	EG12361	TU0-13755
TU0-13756	2983288	2984124	-	G7463	TU0-13756
TU0-13757	2984411	2985592	-	G7464	TU0-13757
TU0-13758	2985847	2987076	+	G7465	TU0-13758
TU0-13759	2987536	2988168	+	G7466	TU0-13759
TU0-13760	2988502	2989786	+	G7468 // G7467	TU0-13760
TU0-13761	2990554	2991043	+	G7470	TU0-13761
TU0-13762	2991268	2991759	+	G7471	TU0-13762
TU0-13763	2991879	2993470	+	G7472	TU0-13763
TU0-13764	2993638	2993856	+	G7473	TU0-13764
TU0-13765	2993939	2994441	+	G7474	TU0-13765
TU0-13766	2994460	2995092	-	G7476 // G7475	TU0-13766
TU0-13767	2995314	2997600	-	G7481 // G7480 // G0-10544 // G7479 // G7478	TU0-13767
TU0-13768	2997689	2997988	-	G7482	TU0-13768
TU0-13769	2998034	2998828	-	G7483	TU0-13769
TU0-13770	2998984	2999057	-	EG30037	TU0-13770
TU0-13771	2999136	2999891	-	G7484	TU0-13771
TU0-13773	3006262	3007452	+	G7489	TU0-13773
TU0-13774	3007510	3008706	+	G7490	TU0-13774
TU0-13775	3008764	3009975	+	G7491	TU0-13775
TU0-13776	3010028	3011413	+	G7492	TU0-13776
TU0-13777	3011461	3012393	+	G7493	TU0-13777
TU0-13778	3012614	3014239	-	G7494	TU0-13778
TU0-13779	3014287	3015057	-	G7495	TU0-13779
TU0-13780	3015160	3015738	+	G7496	TU0-13780
TU0-13781	3015992	3020489	+	G7498 // G7497	TU0-13781
TU0-13782	3020540	3024186	+	G7500 // G7499	TU0-13782
TU0-13783	3024351	3028488	+	G7503 // G7502 // G7501	TU0-13783
TU0-13784	3028524	3030931	-	G7506 // G7505	TU0-13784
TU0-13785	3031367	3032815	+	G7507	TU0-13785
TU0-13786	3033065	3033613	+	G7508	TU0-13786
TU0-13787	3038847	3039743	-	EG11071	TU0-13787
TU0-13788	3041099	3041070	-	G7510 // G7509	TU0-13788
TU0-13789	3042489	3043148	-	G7512	TU0-13789
TU0-13790	3043312	3043623	-	G7513	TU0-13790
TU0-13791	3045158	3045901	-	G7514	TU0-13791
TU0-13792	3055473	3055444	-	EG11323 // EG10697 // EG11324 // EG11333	TU0-13792
TU0-13793	3055612	3055941	+	EG12878	TU0-13793
TU0-13794	3055974	3056789	+	EG11158 // EG30099	TU0-13794
TU0-13796	3059381	3059611	-	G7515	TU0-13796
TU0-13798	3066277	3067173	-	G7518	TU0-13798
TU0-13799	3068836	3068808	-	EG11159	TU0-13799
TU0-13800	3069871	3069807	-	EG11160	TU0-13800
TU0-13801	3073976	3079330	-	EG11791 // EG11792 // G7520 // EG11245 // EG11162 // EG11161	TU0-13801
TU0-13802	3081707	3081635	-	EG11427	TU0-13802
TU0-13804	3089755	3090252	+	EG12122	TU0-13804
TU0-13805	3091134	3092828	+	EG10419 // EG12366	TU0-13805
TU0-13806	3092937	3093916	+	G7525 // G7524	TU0-13806
TU0-13807	3095098	3098403	+	G7531 // G7530 // G7529 // G7528 // G7527	TU0-13807
TU0-13808	3098558	3099565	-	EG12704	TU0-13808
TU0-13809	3101807	3102852	-	EG11779 // EG12443	TU0-13809
TU0-13810	3109553	3110260	+	G7534	TU0-13810
TU0-13811	3110590	3111988	-	G7536 // G7535	TU0-13811
TU0-13813	3113067	3113477	-	G7538	TU0-13813
TU0-13814	3113543	3114352	-	G7539	TU0-13814
TU0-13815	3114550	3119112	-	G7541	TU0-13815
TU0-13816	3131341	3132408	-	G7549	TU0-13816
TU0-13817	3132454	3133957	-	G7551 // G7550	TU0-13817
TU0-13818	3136403	3136371	-	EG12883	TU0-13818
TU0-13819	3138610	3138522	-	EG12882	TU0-13819
TU0-13820	3146450	3146737	-	G7555	TU0-13820
TU0-13821	3146856	3147691	-	G7557	TU0-13821
TU0-13822	3153529	3154222	+	EG11824	TU0-13822
TU0-13823	3155302	3157450	+	G7565 // G7564	TU0-13823
TU0-13824	3156571	3157450	+	G7565	TU0-13824
TU0-13825	3157545	3158576	+	G7566	TU0-13825
TU0-13826	3158627	3158884	+	G7567	TU0-13826
TU0-13827	3158927	3161146	-	G7568	TU0-13827
TU0-13828	3161257	3162669	-	EG11376	TU0-13828
TU0-13829	3162744	3163481	-	EG11377	TU0-13829
TU0-13830	3163715	3165973	-	EG10686	TU0-13830
TU0-13831	3166111	3167718	-	G7570	TU0-13831
TU0-13832	3168653	3168544	-	G7572 // G7571	TU0-13832
TU0-13833	3168749	3169231	-	G7573	TU0-13833
TU0-13834	3169284	3169676	-	G7574	TU0-13834
TU0-13835	3172530	3173111	+	EG12656	TU0-13835
TU0-13836	3173142	3173456	+	EG12657	TU0-13836
TU0-13837	3173504	3177910	-	EG12633 // G7580 // G7579 // G7578 // EG10687	TU0-13837
TU0-13838	3178074	3181581	+	EG11165 // EG11164 // EG11009	TU0-13838
TU0-13839	3184718	3184718	-	G0-9387 // EG10465	TU0-13839
TU0-13841	3184840	3185130	+	G7582	TU0-13841
TU0-13842	3185414	3185965	+	EG12363	TU0-13842
TU0-13843	3186040	3191696	+	G7587 // G7586 // G7585 // G7584 // G7583 // G0-10545	TU0-13843
TU0-13844	3192208	3194525	+	G7589 // G7588	TU0-13844
TU0-13845	3194865	3194865	-	G0-8913	TU0-13845
TU0-13846	3195320	3196753	-	G7590	TU0-13846
TU0-13847	3196801	3200965	-	EG11603 // EG11602	TU0-13847
TU0-13848	3204221	3204589	-	EG11673	TU0-13848
TU0-13850	3221437	3222449	+	EG10254	TU0-13850
TU0-13851	3226234	3227667	+	EG12720	TU0-13851
TU0-13852	3227801	3231239	+	G7599 // G7598	TU0-13852
TU0-13853	3231624	3233683	+	G36	TU0-13853
TU0-13854	3234480	3234455	-	G7602 // G7601	TU0-13854
TU0-13855	3234739	3235875	-	G7603	TU0-13855
TU0-13856	3235960	3236463	+	G7604	TU0-13856
TU0-13857	3236540	3237232	+	G7605	TU0-13857
TU0-13858	3237282	3238297	+	G7606	TU0-13858
TU0-13859	3238580	3239545	+	G7607	TU0-13859
TU0-13860	3239863	3241188	+	EG12732	TU0-13860
TU0-13861	3241193	3241744	-	G7608	TU0-13861
TU0-13863	3248969	3250376	+	G7614 // G7613 // G7612 // G7611	TU0-13863
TU0-13864	3250562	3250954	+	G7615	TU0-13864
TU0-13865	3251024	3252010	+	G7616	TU0-13865
TU0-13866	3252304	3252669	+	G7617	TU0-13866
TU0-13867	3252911	3253267	+	G7618	TU0-13867
TU0-13868	3254319	3255207	+	G7621 // G7620	TU0-13868
TU0-13869	3255341	3258010	-	EG12754 // G7622	TU0-13869
TU0-13870	3267380	3267598	+	EG10992	TU0-13870
TU0-13871	3267854	3269602	+	EG11174 // EG11173	TU0-13871
TU0-13872	3276972	3277801	+	G7629 // EG10955	TU0-13872
TU0-13873	3287426	3288010	+	G7637	TU0-13873
TU0-13874	3288090	3292432	+	G7640 // G7639 // G7638	TU0-13874
TU0-13875	3297098	3298138	-	G7645	TU0-13875
TU0-13876	3298897	3298846	-	G7646	TU0-13876
TU0-13877	3301368	3301276	-	G7651 // G7650	TU0-13877
TU0-13878	3301485	3303367	+	G7653 // G7652	TU0-13878
TU0-13879	3303448	3304455	+	G7654	TU0-13879
TU0-13880	3305971	3307860	-	EG10215	TU0-13880
TU0-13881	3308040	3308924	-	EG12371	TU0-13881
TU0-13882	3319988	3321613	-	G7655	TU0-13882
TU0-13883	3322733	3324911	-	EG50011 // EG11553	TU0-13883
	3330582	3332735	-		
TU0-13885	3333710	3334681	+	EG10017	TU0-13885
TU0-13886	3334858	3335187	+	EG10656	TU0-13886
TU0-13887	3335235	3336494	-	EG11358	TU0-13887
TU0-13888	3336886	3336803	-	G7657	TU0-13888
TU0-13889	3340121	3340065	-	EG12801 // EG12800 // EG12799 // G7659 // G7658	TU0-13889
TU0-13890	3349081	3350459	-	EG11383 // G7668	TU0-13890
TU0-13891	3353121	3354050	-	G7669	TU0-13891
TU0-13892	3362112	3366929	+	G7671 // G7670 // EG11515	TU0-13892
TU0-13893	3366926	3367642	+	G7673	TU0-13893
TU0-13894	3367827	3368954	+	G7674	TU0-13894
TU0-13895	3373698	3374489	-	G7678	TU0-13895
TU0-13896	3378870	3379997	-	G7680	TU0-13896
TU0-13897	3380182	3380589	+	G7681	TU0-13897
TU0-13898	3380654	3383267	+	EG11652 // G7682	TU0-13898
TU0-13899	3385538	3385801	+	G7683	TU0-13899
TU0-13900	3385857	3386129	-	G7684	TU0-13900
TU0-13901	3389430	3389337	-	G7687 // G7686 // G7685	TU0-13901
TU0-13902	3390583	3392028	-	G7689	TU0-13902
TU0-13903	3392458	3396258	-	G7690	TU0-13903
TU0-13904	3401392	3403332	-	EG10018	TU0-13904
TU0-13905	3411653	3412537	+	EG11498	TU0-13905
TU0-13906	3412621	3412800	+	G7694	TU0-13906
TU0-13907	3418390	3418611	+	G7695	TU0-13907
TU0-13908	3436518	3437894	+	EG11019	TU0-13908
TU0-13909	3438001	3438434	+	EG11180	TU0-13909
TU0-13910	3438673	3438649	-	G0-10465	TU0-13910
TU0-13911	3439546	3439509	-	EG11970 // EG11969	TU0-13911
TU0-13913	3455531	3466220	+	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	TU0-13913
TU0-13914	3466249	3466991	-	EG11181 // EG10113	TU0-13914
TU0-13915	3476506	3476440	-	G7715 // G7714 // G7713 // G7712	TU0-13915
TU0-13917	3477907	3478497	-	EG11663	TU0-13917
TU0-13918	3478592	3481161	-	G7717 // EG20110 // G0-10466	TU0-13918
TU0-13919	3481289	3484436	+	G7719 // G7718 // EG12903	TU0-13919
TU0-13920	3484311	3485359	+	EG12365	TU0-13920
TU0-13922	3492519	3493749	+	EG11262	TU0-13922
TU0-13923	3499448	3499615	+	G7722	TU0-13923
TU0-13924	3504935	3510976	-	G7733 // G7732 // G7731 // G7730 // G7729 // G7728	TU0-13924
TU0-13925	3511060	3512344	-	G7735 // G7734	TU0-13925
TU0-13926	3519465	3520703	-	EG12113	TU0-13926
TU0-13927	3522928	3522751	-	G7739 // G7738 // G7737 // G7736	TU0-13927
TU0-13928	3526469	3528604	+	G7741	TU0-13928
TU0-13929	3528669	3529749	+	G7743 // G7742	TU0-13929
TU0-13930	3529774	3530652	+	G7744	TU0-13930
TU0-13931	3536812	3537288	+	EG11578	TU0-13931
TU0-13932	3537385	3539706	+	G7746	TU0-13932
TU0-13933	3543167	3544045	+	EG11750	TU0-13933
TU0-13934	3563724	3564005	-	G7752	TU0-13934
TU0-13935	3573775	3574878	-	EG10088	TU0-13935
TU0-13936	3578950	3579645	-	G7756	TU0-13936
TU0-13937	3579768	3580805	-	G7757	TU0-13937
TU0-13940	3581863	3584309	+	G7762 // G7761 // G0-10540 // G7760 // G7759	TU0-13940
TU0-13941	3584759	3585043	+	G7763	TU0-13941
TU0-13942	3604393	3605248	+	EG12212 // EG10343	TU0-13942
TU0-13943	3605751	3606377	+	EG12214	TU0-13943
TU0-13944	3609217	3609882	+	EG12217	TU0-13944
TU0-13945	3609955	3610512	+	G7767	TU0-13945
TU0-13946	3611865	3612914	+	EG12220	TU0-13946
TU0-13947	3612969	3613556	+	EG12221	TU0-13947
TU0-13948	3619192	3623427	+	EG10847	TU0-13948
TU0-13949	3623399	3623782	+	EG11520	TU0-13949
TU0-13950	3623887	3624132	+	G0-10563	TU0-13950
TU0-13951	3624378	3625514	+	EG11525	TU0-13951
TU0-13952	3625679	3630602	-	EG12224 // EG12223 // EG11767	TU0-13952
TU0-13953	3630968	3632590	-	EG12225	TU0-13953
TU0-13955	3632852	3634458	-	EG12227	TU0-13955
TU0-13956	3640862	3642331	+	EG12232	TU0-13956
TU0-13957	3645238	3645182	-	EG11441 // EG12233	TU0-13957
TU0-13958	3645350	3646227	+	EG12234	TU0-13958
TU0-13960	3651291	3653713	+	EG12238	TU0-13960
TU0-13962	3655255	3655902	-	EG11400	TU0-13962
TU0-13964	3659084	3663527	+	EG12241 // EG12240	TU0-13964
TU0-13965	3669261	3669188	-	EG12244	TU0-13965
TU0-13966	3672136	3673313	+	EG12247	TU0-13966
TU0-13967	3673362	3674375	+	EG12248	TU0-13967
TU0-13968	3674786	3676108	+	EG12249	TU0-13968
TU0-13969	3678412	3678350	-	EG12251	TU0-13969
TU0-13971	3683630	3685618	-	EG12256	TU0-13971
TU0-13972	3696443	3699893	+	EG12265 // EG12264 // EG12263	TU0-13972
TU0-13973	3700136	3700199	+	G0-9042	TU0-13973
TU0-13974	3700563	3701834	+	EG12266	TU0-13974
TU0-13975	3710581	3710475	-	EG12267	TU0-13975
TU0-13977	3712236	3712934	-	EG12269	TU0-13977
TU0-13978	3713092	3714092	+	EG12270 // EG10986	TU0-13978
TU0-13979	3716547	3717206	+	EG12271	TU0-13979
TU0-13980	3717310	3718284	+	EG12272	TU0-13980
TU0-13981	3725413	3725712	-	G0-10467	TU0-13981
TU0-13982	3726924	3727361	-	EG11186	TU0-13982
TU0-13983	3727407	3727748	-	EG11267	TU0-13983
TU0-13984	3739674	3740958	+	EG10107	TU0-13984
TU0-13985	3741109	3741582	-	EG12277	TU0-13985
TU0-13986	3752963	3754428	-	EG12291 // EG12290	TU0-13986
TU0-13987	3756676	3757827	-	EG12293	TU0-13987
TU0-13988	3761975	3761955	-	EG11762	TU0-13988
TU0-13989	3762183	3767179	+	EG11187 // EG10846	TU0-13989
TU0-13990	3767221	3767922	+	EG11766	TU0-13990
TU0-13991	3768177	3768638	+	EG11763	TU0-13991
TU0-13992	3770243	3771744	-	EG11765 // EG11764	TU0-13992
TU0-13993	3776665	3777027	+	EG11964	TU0-13993
TU0-13994	3781215	3781688	+	EG11888	TU0-13994
TU0-13995	3784203	3784128	-	EG10937 // EG20091	TU0-13995
TU0-13996	3784191	3784442	-	EG12294	TU0-13996
TU0-13997	3784584	3785015	-	EG12295	TU0-13997
TU0-13998	3785235	3789060	+	EG12298 // EG12297 // EG12296	TU0-13998
TU0-13999	3790149	3790081	-	EG11266	TU0-13999
TU0-14	3646112	3647651	+	EG10412	TU0-14
TU0-14000	3792826	3793683	-	EG11188	TU0-14000
TU0-14001	3816645	3817603	+	EG11192	TU0-14001
TU0-14002	3817699	3818584	+	EG11193	TU0-14002
TU0-14003	3818874	3819491	+	EG11683	TU0-14003
TU0-14004	3821388	3822051	+	EG10965	TU0-14004
TU0-14005	3828945	3830336	+	EG11194	TU0-14005
TU0-14006	3830431	3832166	+	EG11684	TU0-14006
TU0-14007	3836198	3836316	+	EG30092	TU0-14007
TU0-14008	3836953	3838137	+	EG11687	TU0-14008
TU0-14009	3838248	3839171	+	EG11688	TU0-14009
TU0-14010	3841771	3841739	-	EG11689	TU0-14010
TU0-14011	3841950	3842402	-	EG11690	TU0-14011
TU0-14012	3842455	3843789	-	EG11691	TU0-14012
TU0-14013	3853845	3855106	+	EG11693	TU0-14013
TU0-14014	3855114	3856307	-	EG11696 // EG11695 // EG11694	TU0-14014
TU0-14015	3856911	3860116	-	EG11706 // EG11705	TU0-14015
TU0-14016	3861173	3863603	-	EG11710 // EG11709 // EG11708	TU0-14016
TU0-14017	3864612	3866273	-	EG11536	TU0-14017
TU0-14018	3875185	3875160	-	G7789 // EG20051 // EG20049 // GB4478 // EG20053	TU0-14018
TU0-14019	3876140	3876952	-	EG11195	TU0-14019
TU0-1402	4046652	4046602	-	EG11833	TU0-1402
TU0-14020	3877067	3877465	-	EG11196	TU0-14020
TU0-14021	3886828	3888192	+	EG10997	TU0-14021
TU0-14022	3891615	3892790	+	EG11720	TU0-14022
TU0-14023	3892765	3893724	+	EG11721	TU0-14023
TU0-14025	3896774	3897439	+	EG11725	TU0-14025
TU0-14026	3897506	3897973	+	EG11726	TU0-14026
TU0-14027	3898022	3898609	+	EG11727	TU0-14027
TU0-14028	3898671	3902220	-	EG11364 // EG11729 // EG11728	TU0-14028
TU0-14029	3925674	3925633	-	EG10375 // EG10376	TU0-14029
TU0-14030	3926475	3926455	-	EG11199	TU0-14030
TU0-14031	3931128	3931093	-	EG11731 // EG11730	TU0-14031
TU0-14032	3931103	3933184	+	EG11541	TU0-14032
TU0-14033	3939185	3941327	-	EG11733 // EG11732	TU0-14033
TU0-14034	3959841	3959813	-	EG12352	TU0-14034
TU0-14035	3960012	3960460	-	G7798	TU0-14035
TU0-14036	3962745	3964229	-	EG10413	TU0-14036
TU0-14037	3964365	3965630	-	EG10844	TU0-14037
TU0-14039	3967800	3980696	+	EG11458 // EG11457 // G7800 // EG11486 // EG11456 // EG11455 // EG11454 // EG11453 // EG11452 // EG11451 // EG11295 // EG10840	TU0-14039
TU0-14040	3980887	3982272	+	EG11459	TU0-14040
TU0-14041	3993850	3994335	+	G7802	TU0-14041
TU0-14042	3994492	3997899	+	EG11202 // EG11069 // EG11201 // EG10209 // G0-10471	TU0-14042
TU0-14043	4002419	4003193	-	EG11465 // EG11464	TU0-14043
TU0-14044	4003288	4004178	-	EG11466	TU0-14044
TU0-14045	4004724	4004697	-	EG11467	TU0-14045
TU0-14046	4004814	4005836	+	EG10738	TU0-14046
TU0-14047	4005836	4007763	+	EG10833	TU0-14047
TU0-14048	4007757	4008377	+	EG11468	TU0-14048
TU0-14049	4009170	4011000	+	EG11470 // EG10739	TU0-14049
TU0-14050	4011076	4011975	+	EG11471	TU0-14050
TU0-14051	4017333	4018760	+	EG11472	TU0-14051
TU0-14052	4021909	4024336	+	EG11481 // EG11479 // G7808 // G7806	TU0-14052
TU0-14053	4023554	4024336	+	EG11481	TU0-14053
TU0-14054	4024988	4026481	+	EG11396	TU0-14054
TU0-14055	4026443	4027228	+	EG10334	TU0-14055
TU0-14056	4031147	4035153	+	EG11485 // EG11021 // EG11484 // EG10698	TU0-14056
TU0-14057	4042049	4042338	+	EG11830	TU0-14057
TU0-14058	4044199	4045629	+	EG11832	TU0-14058
TU0-14060	4051308	4051856	+	EG11835	TU0-14060
TU0-14061	4058407	4060230	+	EG11837	TU0-14061
TU0-14062	4060447	4062145	+	EG11839 // EG11838	TU0-14062
TU0-14063	4062247	4063512	+	EG11840	TU0-14063
TU0-14064	4063603	4064295	-	G7814	TU0-14064
TU0-14065	4064363	4067194	-	EG11842 // EG11841	TU0-14065
TU0-14066	4067240	4069276	-	EG11843	TU0-14066
TU0-14067	4069475	4070401	-	EG11844	TU0-14067
TU0-14068	4073586	4073571	-	EG11847 // EG11846 // EG11845	TU0-14068
TU0-14069	4073712	4075454	+	EG11849 // EG11848	TU0-14069
TU0-14070	4075548	4078438	+	EG11853 // EG11852 // EG11851 // EG11850	TU0-14070
TU0-14071	4079291	4079509	+	EG11854	TU0-14071
TU0-14072	4079751	4080025	+	EG11855	TU0-14072
TU0-14073	4086016	4086849	+	EG11859	TU0-14073
TU0-14074	4087002	4088057	+	EG11860	TU0-14074
TU0-14075	4088107	4092823	-	EG11864 // EG11863 // EG11862 // EG11861	TU0-14075
TU0-14076	4101690	4102673	+	EG11869	TU0-14076
TU0-14077	4102822	4103496	+	EG11870	TU0-14077
TU0-14078	4106469	4107371	+	EG11873	TU0-14078
TU0-14080	4108834	4109884	+	EG10929	TU0-14080
TU0-14081	4111615	4112214	-	EG11874	TU0-14081
TU0-14082	4112315	4112755	+	EG11875	TU0-14082
TU0-14087	4124612	4126810	-	EG10763	TU0-14087
TU0-14088	4127286	4127894	-	EG11882	TU0-14088
TU0-14089	4136108	4137013	+	EG11902	TU0-14089
TU0-14090	4137040	4137657	-	EG11903	TU0-14090
TU0-14091	4137932	4142221	-	EG11906 // EG11905 // EG11904	TU0-14091
TU0-14092	4142530	4143944	+	EG11909 // EG11908	TU0-14092
TU0-14093	4147466	4148317	-	EG11913	TU0-14093
TU0-14094	4148532	4150265	-	EG11914	TU0-14094
TU0-14097	4161067	4162130	+	EG11395 // EG11394	TU0-14097
TU0-14099	4172057	4174047	+	EG10123 // EG11205	TU0-14099
TU0-14101	4190487	4190487	-	G0-9388	TU0-14101
TU0-14103	4196903	4199461	+	EG11915 // EG11543 // EG11702	TU0-14103
TU0-14104	4199504	4200094	+	EG11916	TU0-14104
TU0-14105	4213234	4213617	+	EG11206	TU0-14105
TU0-14106	4220301	4222487	-	EG11208	TU0-14106
TU0-14107	4227602	4229362	+	EG11919	TU0-14107
TU0-14108	4231359	4231631	-	EG11922	TU0-14108
TU0-14111	4235858	4236209	+	EG11923	TU0-14111
TU0-14112	4236262	4239730	+	EG11926 // EG11925 // EG11924	TU0-14112
TU0-14113	4242291	4242254	-	EG11076	TU0-14113
TU0-14114	4250703	4252283	+	EG11927	TU0-14114
TU0-14115	4256608	4257005	+	EG10224	TU0-14115
TU0-14116	4259237	4259446	+	EG11928	TU0-14116
TU0-14117	4260321	4261306	+	EG11931 // EG11930	TU0-14117
TU0-14118	4261669	4262706	+	EG11932	TU0-14118
TU0-14119	4264283	4265729	+	EG10236	TU0-14119
TU0-14120	4265589	4266861	+	EG10001	TU0-14120
TU0-14121	4269414	4270127	+	EG11934	TU0-14121
TU0-14122	4270214	4271061	+	EG11936 // EG11935	TU0-14122
TU0-14123	4278321	4279828	+	EG11939	TU0-14123
TU0-14124	4279980	4281629	+	EG11940	TU0-14124
TU0-14125	4281783	4283075	-	EG11941	TU0-14125
TU0-14126	4294481	4295794	+	EG10405	TU0-14126
TU0-14127	4296436	4297125	-	EG11951	TU0-14127
TU0-14128	4299564	4304109	-	EG11954 // EG11953 // EG11952	TU0-14128
TU0-14129	4304612	4306597	-	EG11955	TU0-14129
TU0-14130	4313868	4314197	+	G0-9541	TU0-14130
TU0-14131	4325298	4325741	-	EG10712	TU0-14131
TU0-14132	4326399	4326734	-	EG10711	TU0-14132
TU0-14133	4327064	4330238	+	G7823 // EG11210	TU0-14133
TU0-14134	4337202	4337031	-	EG12462	TU0-14134
TU0-14136	4344929	4345558	-	G7825	TU0-14136
TU0-14137	4351843	4352357	+	G7829 // G7828	TU0-14137
TU0-14139	4354954	4356411	-	EG12469	TU0-14139
TU0-14140	4362733	4365042	-	EG12178 // EG12176	TU0-14140
TU0-14141	4372761	4373162	+	G7834	TU0-14141
TU0-14142	4373365	4374234	-	G7835	TU0-14142
TU0-14143	4374629	4375657	-	G7836	TU0-14143
TU0-14145	4376317	4376699	+	G0-9562 // G0-41	TU0-14145
TU0-14146	4382618	4383620	+	EG11211	TU0-14146
TU0-14147	4383839	4385341	+	EG12475	TU0-14147
TU0-14148	4385393	4386018	+	G7839 // G7838	TU0-14148
TU0-14150	4390457	4391509	-	G7841	TU0-14150
TU0-14151	4391604	4392149	+	G7842	TU0-14151
TU0-14152	4404386	4404583	+	G7844	TU0-14152
TU0-14153	4410133	4411251	+	G7847 // G7846	TU0-14153
TU0-14154	4411302	4414191	+	EG11812 // G7850 // G7849 // G7848	TU0-14154
TU0-14155	4416017	4416292	-	G7851	TU0-14155
TU0-14156	4416869	4416770	-	G7852	TU0-14156
TU0-14157	4417698	4418453	-	G7854	TU0-14157
TU0-14158	4428935	4429555	+	G7865	TU0-14158
TU0-14159	4429780	4431276	+	EG12504	TU0-14159
TU0-14160	4432091	4433056	-	G7867	TU0-14160
TU0-14161	4433164	4434024	-	G7868	TU0-14161
TU0-14162	4436755	4437495	+	EG10043	TU0-14162
TU0-14163	4437707	4438645	+	G7870	TU0-14163
TU0-14164	4439872	4441215	-	G7873	TU0-14164
TU0-14165	4442382	4448235	+	G7876 // G7875 // G7874	TU0-14165
TU0-14166	4449962	4454578	+	EG12439 // EG12520 // EG12518 // EG12517	TU0-14166
TU0-14167	4457945	4459311	+	EG10741	TU0-14167
TU0-14168	4459488	4459855	+	EG50008	TU0-14168
TU0-14169	4470946	4470913	-	G7877	TU0-14169
TU0-14170	4472814	4473209	-	G7879	TU0-14170
TU0-14171	4474064	4474053	-	G7880	TU0-14171
TU0-14172	4474124	4474717	+	G7882	TU0-14172
TU0-14173	4474862	4475314	+	G7883	TU0-14173
TU0-14174	4475437	4477251	+	G7884	TU0-14174
TU0-14175	4486139	4485951	-	EG10694	TU0-14175
TU0-14176	4486218	4488400	+	G7889 // G7888	TU0-14176
TU0-14177	4488561	4490063	-	G7890	TU0-14177
TU0-14178	4496750	4497940	+	EG12364	TU0-14178
TU0-14179	4498272	4499500	+	G7895 // G7894 // G0-10546	TU0-14179
