bnumber	rank	strand	begin	end
b1009	988	-	1070964	1071765
b1010	989	-	1071772	1072159
b1011	990	-	1072170	1072863
b1012	991	-	1072862	1074011
b1013	992	+	1074241	1074880
b1014	993	-	1074919	1078882
b4737	994	+	1079119	1079146
b1015	995	+	1079304	1080813
b1018	996	+	1082242	1083370
b1019	997	+	1083375	1084647
b1020	998	+	1084991	1086056
b1021	999	-	1086105	1086519
b1022	1000	-	1086520	1087846
b1023	1001	-	1087838	1089857
b1024	1002	-	1089865	1092289
b1025	1003	+	1092875	1094234
b1026	1004	-	1094274	1095141
b1027	1005	-	1095137	1095437
b1029	1006	+	1095842	1096829
b1033	1007	+	1097885	1098824
b1034	1008	+	1098878	1099616
b1035	1009	+	1099639	1100194
b1036	1010	+	1100295	1100787
b1037	1011	-	1100850	1101684
b1038	1012	-	1101710	1102127
b1039	1013	-	1102151	1102541
b1040	1014	-	1102545	1103196
b1041	1015	+	1103950	1104406
b1042	1016	+	1104446	1104902
b1043	1017	+	1104960	1105293
b1044	1018	+	1105413	1105725
b1045	1019	+	1105819	1106353
b1046	1020	+	1106354	1107776
b1047	1021	-	1107783	1108941
b1048	1022	+	1109334	1110870
b1049	1023	+	1110862	1113406
b1050	1024	+	1113578	1113806
b1051	1025	-	1113806	1114181
b1053	1026	-	1114263	1115490
b1054	1027	-	1115661	1116582
b1055	1028	+	1116806	1117859
b1056	1029	-	1117900	1118476
b1057	1030	-	1118479	1119046
b1058	1031	-	1119306	1119447
b1059	1032	-	1119467	1120586
b1060	1033	-	1120700	1120955
b1061	1034	-	1121241	1121487
b1062	1035	-	1121560	1122607
b1063	1036	-	1122712	1123273
b1064	1037	-	1123406	1124054
b1065	1038	-	1124117	1125326
b1066	1039	+	1125561	1126146
b1067	1040	+	1126156	1126804
b1068	1041	+	1126805	1127729
b1069	1042	+	1127838	1129374
b1070	1043	-	1129413	1129830
b1071	1044	-	1129834	1130128
b1072	1045	-	1130203	1130863
b1073	1046	+	1131017	1131434
b1074	1047	+	1131437	1131842
b1075	1048	+	1131853	1132549
b1076	1049	+	1132573	1133782
b1077	1050	+	1133801	1134557
b1078	1051	+	1134728	1135511
b1079	1052	+	1135563	1136262
b1080	1053	+	1136273	1137371
b1081	1054	+	1137370	1138312
b1082	1055	+	1138377	1140021
b1083	1056	+	1140032	1140986
b1084	1057	-	1141181	1144367
b1085	1058	+	1144501	1144822
b1086	1059	+	1144939	1145899
b1087	1060	-	1146010	1146595
b1088	1061	+	1146793	1147315
b1089	1062	+	1147366	1147540
b1090	1063	+	1147620	1148691
b1091	1064	+	1148758	1149712
b1092	1065	+	1149727	1150657
b1093	1066	+	1150669	1151404
b1094	1067	+	1151614	1151851
b1095	1068	+	1151938	1153180
b1096	1069	+	1153299	1154109
b1097	1070	+	1154111	1155134
b1098	1071	+	1155123	1155765
b1099	1072	+	1155761	1156766
b1100	1073	+	1156776	1157574
b1101	1074	+	1157868	1159302
b1102	1075	-	1159361	1161551
b1103	1076	+	1161884	1162244
b1104	1077	+	1162246	1162624
b1105	1078	+	1162637	1163279
b1106	1079	+	1163259	1164084
b1107	1080	+	1164094	1165120
b1108	1081	+	1165142	1165685
b1109	1082	+	1166084	1167389
b1110	1083	+	1167598	1168138
b1111	1084	-	1168199	1168832
b1112	1085	+	1169072	1169330
b1113	1086	-	1169411	1170374
b1114	1087	-	1170517	1173964
b1115	1088	-	1174091	1175165
b1116	1089	+	1175426	1176626
b1117	1090	+	1176618	1177320
b1118	1091	+	1177319	1178564
b1119	1092	+	1178592	1179504
b1120	1093	+	1179519	1180359
b1120	1094	+	1179630	1180359
b1121	1095	-	1180478	1181267
b1122	1096	-	1181263	1181725
b1123	1097	-	1181782	1182829
b1124	1098	-	1182825	1183620
b1125	1099	-	1183616	1184444
b1126	1100	-	1184457	1185594
b1127	1101	+	1185843	1187070
b1128	1102	-	1187118	1188240
b1129	1103	-	1188315	1189776
b1130	1104	-	1189775	1190447
b1131	1105	-	1190615	1191986
b1132	1106	-	1191989	1192631
b1133	1107	-	1192666	1193773
b1134	1108	-	1193826	1194288
b1135	1109	-	1194297	1194951
b1136	1110	+	1195122	1196373
b1137	1111	-	1196866	1197532
b1138	1112	-	1197532	1198237
b1139	1113	+	1198694	1199588
b1140	1114	-	1199678	1200806
b1141	1115	-	1200786	1201032
b1142	1116	-	1201068	1201380
b1143	1117	+	1201496	1201838
b1144	1118	-	1201775	1202084
b1145	1119	-	1202258	1202933
b1146	1120	+	1203023	1203224
b1147	1121	+	1203267	1203825
b1148	1122	+	1203821	1204160
b1149	1123	+	1204169	1205537
b1150	1124	+	1205548	1205731
b1151	1125	+	1205730	1206204
b1153	1126	+	1206912	1207497
b1154	1127	+	1207500	1208130
b1155	1128	+	1208131	1208545
b1156	1129	-	1208516	1209119
b1158	1130	+	1209684	1210239
b1159	1131	+	1210345	1211179
b1160	1132	-	1211679	1212003
b4738	1133	-	1212259	1212304
b4739	1134	-	1212539	1212650
b1161	1135	-	1212702	1213107
b1162	1136	-	1213327	1214059
b1163	1137	-	1214263	1215475
b1164	1138	+	1215788	1216025
b1165	1139	+	1216067	1216340
b1166	1140	+	1216368	1216635
b1167	1141	+	1216747	1216996
b1168	1142	+	1217327	1218851
b4520	1143	+	1218982	1219201
b1171	1144	-	1222304	1222634
b1172	1145	-	1222643	1222988
b4593	1146	-	1222989	1223163
b4594	1147	+	1223263	1223449
b1174	1148	-	1224278	1224545
b1175	1149	-	1224548	1225361
b1176	1150	-	1225384	1226080
b1177	1151	+	1226599	1226968
b1178	1152	-	1227070	1227472
b4816	1153	+	1227367	1227427
b1179	1154	+	1227680	1228007
b1180	1155	+	1228078	1228738
b1181	1156	+	1228814	1229276
b1182	1157	-	1229482	1230394
b1183	1158	+	1230766	1231186
b1184	1159	+	1231185	1232454
b1185	1160	-	1232499	1233030
b1186	1161	-	1233175	1234717
b1187	1162	+	1234937	1235657
b1188	1163	-	1235708	1237241
b1189	1164	+	1237570	1238869
b1190	1165	+	1238878	1239949
b4740	1166	+	1240259	1240463
b1191	1167	-	1240334	1242071
b1192	1168	-	1242165	1243080
b1193	1169	+	1243179	1243791
b1194	1170	-	1243792	1244527
b1195	1171	+	1244727	1244982
b1196	1172	+	1245159	1245600
b1197	1173	-	1245678	1247376
b1198	1174	-	1247695	1249114
b1199	1175	-	1249124	1249757
b1200	1176	-	1249767	1250838
b1201	1177	+	1251065	1252985
b1202	1178	-	1253084	1255952
b1203	1179	-	1256720	1257812
b1204	1180	-	1257928	1258513
b1205	1181	+	1258790	1259069
b1206	1182	-	1259123	1260803
b1207	1183	-	1260927	1261875
b1208	1184	-	1262025	1262877
b1209	1185	-	1262876	1263500
b1210	1186	+	1263713	1264970
b1211	1187	+	1265011	1266094
b1212	1188	+	1266093	1266927
b1213	1189	+	1266923	1267316
b1214	1190	+	1267319	1268129
b1215	1191	+	1268164	1269019
b4419	1192	-	1269167	1269275
b4421	1193	-	1269702	1269810
b4423	1194	-	1270237	1270345
b1216	1195	-	1270748	1271849
b1217	1196	+	1272118	1272349
b1218	1197	+	1272506	1273202
b1219	1198	-	1273245	1273599
b1220	1199	+	1273783	1275178
b1221	1200	-	1275178	1275829
b1222	1201	-	1275821	1277618
b1223	1202	+	1277956	1279348
b1224	1203	+	1279863	1283607
b1225	1204	+	1283603	1285142
b1226	1205	+	1285138	1285849
b1227	1206	+	1285848	1286526
b1228	1207	+	1286708	1286984
b1229	1208	-	1287086	1287176
b1232	1209	-	1287781	1288624
b1233	1210	-	1288673	1289132
b1234	1211	+	1289244	1290150
b1235	1212	+	1290241	1291255
b1236	1213	+	1291456	1292365
b1237	1214	-	1292508	1292922
b1238	1215	+	1293526	1294144
b1241	1216	-	1295445	1298121
b4771	1217	+	1298513	1298567
b1242	1218	+	1298597	1299245
b4711	1219	+	1299566	1300547
b1243	1220	+	1301181	1302813
b1244	1221	+	1302898	1303819
b1245	1222	+	1303833	1304742
b1246	1223	+	1304753	1305767
b1247	1224	+	1305763	1306768
b1248	1225	-	1306820	1307150
b1249	1226	-	1307184	1308645
b4595	1227	+	1308787	1308961
b1250	1228	-	1309015	1310269
b1251	1229	-	1310568	1310865
b1252	1230	+	1311088	1311808
b1253	1231	-	1311847	1312246
b1254	1232	-	1312350	1312890
b1255	1233	-	1312919	1313663
b1256	1234	+	1314019	1314658
b1257	1235	-	1314717	1315224
b1258	1236	-	1315269	1315770
b1259	1237	-	1315855	1316035
b1260	1238	-	1316415	1317222
b1261	1239	-	1317221	1318415
b1262	1240	-	1318426	1319788
b1263	1241	-	1319788	1321384
b1264	1242	-	1321383	1322946
b1265	1243	-	1323037	1323082
b1266	1244	+	1323219	1324101
b1267	1245	+	1324097	1324718
b1268	1246	+	1324745	1326641
b1269	1247	+	1326851	1327727
b1270	1248	-	1327766	1328357
b1271	1249	-	1328353	1329112
b1272	1250	+	1329331	1330381
b1273	1251	-	1330416	1330668
b1274	1252	+	1331047	1333645
b1275	1253	+	1333854	1334829
b4522	1254	+	1335147	1335288
b4523	1255	+	1335290	1335458
b4741	1256	+	1335571	1335667
b1276	1257	+	1335830	1338506
b1277	1258	-	1338569	1339160
b1278	1259	+	1339329	1340094
b1279	1260	+	1340242	1340551
b1280	1261	+	1340557	1341727
b1281	1262	+	1341920	1342658
b1282	1263	+	1342657	1342984
b1283	1264	-	1343109	1343328
b1284	1265	-	1343596	1344346
b4596	1266	-	1344435	1344609
b4772	1267	+	1344646	1344775
b1285	1268	-	1344756	1346742
b4672	1269	+	1346795	1346900
b1286	1270	-	1346977	1348912
b1287	1271	-	1348979	1350107
b1288	1272	-	1350250	1351039
b1289	1273	-	1351406	1351760
b1290	1274	-	1351827	1352634
b1291	1275	-	1352635	1353628
b1292	1276	-	1353627	1354518
b1293	1277	-	1354504	1355470
b1294	1278	-	1355466	1357110
b1295	1279	-	1357422	1357668
b1296	1280	-	1357801	1359187
b4742	1281	-	1359176	1359341
b1297	1282	-	1359489	1360908
b1298	1283	+	1361119	1361884
b1299	1284	+	1361910	1362468
b1300	1285	+	1362742	1364230
b1301	1286	+	1364231	1365512
b1302	1287	+	1365549	1366815
b1303	1288	-	1366934	1367912
b1304	1289	+	1368078	1368747
b1305	1290	+	1368800	1369025
b1306	1291	+	1369024	1369384
b1307	1292	+	1369392	1369614
b1308	1293	+	1369688	1370003
b1309	1294	+	1370215	1371895
b1310	1295	+	1371908	1373201
b1311	1296	+	1373221	1374103
b1312	1297	+	1374089	1374932
b1313	1298	+	1374962	1376015
b1314	1299	+	1376033	1376822
b1315	1300	+	1376831	1377887
b1316	1301	+	1377883	1380151
b1317	1302	+	1380147	1380807
b1319	1303	+	1381946	1382852
b1320	1304	-	1382962	1383961
b1321	1305	+	1384116	1385514
b1322	1306	+	1385510	1386572
b1323	1307	+	1386719	1388261
b1324	1308	-	1388304	1388811
b1325	1309	+	1388929	1389895
b1326	1310	-	1389869	1390598
b4525	1311	-	1390679	1390862
b4673	1312	-	1390867	1390933
b1327	1313	-	1390932	1391853
b1328	1314	+	1391990	1392890
b1329	1315	+	1393226	1394840
b1330	1316	-	1394890	1395922
b1331	1317	+	1396111	1397092
b1332	1318	+	1397364	1397622
b1333	1319	-	1397671	1398622
b1334	1320	-	1398773	1399526
b1335	1321	-	1399720	1400236
b1336	1322	-	1400246	1401773
b1337	1323	-	1401809	1403255
b1338	1324	-	1403254	1404565
b1339	1325	+	1404740	1405649
b1340	1326	+	1405978	1406542
b1341	1327	-	1406562	1407795
b4773	1328	+	1407988	1408036
b1342	1329	+	1408049	1409033
b4743	1330	+	1409307	1409481
b1343	1331	+	1409510	1410884
b1344	1332	-	1411012	1411948
b1345	1333	-	1411999	1413235
b1346	1334	-	1413236	1413452
b1347	1335	-	1413530	1413740
b1348	1336	-	1413732	1413927
b1349	1337	-	1413983	1414793
b1350	1338	-	1414785	1417386
b1351	1339	-	1417487	1417763
b4526	1340	-	1417837	1418008
b1352	1341	-	1418007	1418229
b1353	1342	+	1418670	1419159
b4527	1343	-	1419155	1419311
b1355	1344	-	1419321	1419456
b1356	1345	-	1419764	1420241
b1357	1346	+	1420364	1420661
b1358	1347	+	1420683	1421106
b1359	1348	+	1421118	1421976
b1360	1349	+	1421982	1422729
b1361	1350	+	1422751	1423312
b4528	1351	+	1423399	1423585
b1363	1352	+	1423781	1425239
b1365	1353	+	1425376	1425640
b1366	1354	+	1425620	1425980
b1368	1355	+	1426453	1427482
b4570	1356	+	1427388	1427598
b1370	1357	-	1427745	1428726
b1372	1358	+	1429048	1432411
b1373	1359	+	1432410	1432986
b1374	1360	-	1433083	1433674
b1375	1361	-	1433990	1434224
b4744	1362	-	1434292	1434406
b1376	1363	-	1435184	1435619
b1377	1364	-	1435759	1436893
b1378	1365	-	1437259	1440784
b4529	1366	+	1441057	1441324
b1379	1367	-	1441320	1441743
b1380	1368	-	1441853	1442843
b1381	1369	+	1443050	1445690
b1382	1370	+	1445686	1445872
b1383	1371	+	1445879	1446206
b1384	1372	-	1446377	1447283
b1385	1373	+	1447518	1449018
b1386	1374	-	1449075	1451349
b1387	1375	-	1451596	1453642
b1388	1376	+	1453926	1454856
b1389	1377	+	1454867	1455155
b1390	1378	+	1455163	1455910
b1391	1379	+	1455924	1456422
b1392	1380	+	1456429	1457500
b1393	1381	+	1457496	1458264
b1394	1382	+	1458263	1459052
b1395	1383	+	1459053	1460481
b1396	1384	+	1460470	1460893
b1397	1385	+	1460892	1462098
b1398	1386	+	1462124	1463438
b1399	1387	+	1463538	1464489
b1400	1388	+	1464470	1465061
b4674	1389	-	1465164	1465230
b4492	1390	+	1465391	1467909
b1402	1391	-	1467920	1468826
b1403	1392	-	1468783	1469149
b1404	1393	+	1469357	1470509
b1406	1394	+	1474220	1475081
b1407	1395	+	1475143	1477450
b1408	1396	+	1477620	1478226
b1409	1397	+	1478225	1479122
b1410	1398	+	1479137	1480895
b1411	1399	+	1480908	1482201
b1412	1400	-	1482254	1482860
b1413	1401	+	1483060	1486963
b1414	1402	+	1487234	1488035
b1415	1403	+	1488231	1489671
b1418	1404	+	1490901	1491432
b1419	1405	+	1491676	1491850
b4774	1406	+	1491875	1491944
b4428	1407	-	1491921	1492071
b1420	1408	-	1491961	1492129
b1421	1409	+	1492469	1494110
b1422	1410	-	1494147	1495071
b1423	1411	+	1495287	1496631
b1424	1412	+	1496855	1498511
b1426	1413	+	1498650	1498875
b1427	1414	+	1498937	1499477
b1428	1415	-	1499468	1500449
b1429	1416	+	1500572	1501565
b1430	1417	+	1501561	1502155
b1431	1418	+	1502456	1503125
b1432	1419	+	1503656	1504865
b1433	1420	-	1504904	1506080
b1434	1421	+	1506171	1506708
b1435	1422	+	1506780	1508742
b1436	1423	-	1508833	1509064
b4532	1424	+	1509285	1509462
b1438	1425	+	1509507	1509924
b1439	1426	+	1510002	1511409
b1440	1427	+	1511653	1512799
b1441	1428	+	1512816	1513830
b1442	1429	+	1513830	1514772
b1443	1430	+	1514761	1515556
b1444	1431	+	1515577	1517002
b4598	1432	-	1517098	1517194
b1445	1433	+	1517388	1517562
b1446	1434	+	1517647	1517881
b1447	1435	-	1517881	1518331
b1448	1436	-	1518327	1518846
b1449	1437	+	1519026	1520064
b1450	1438	+	1520261	1520927
b1451	1439	-	1520962	1523065
b1452	1440	+	1523306	1524368
b1453	1441	-	1524480	1525980
b1454	1442	+	1526246	1526864
b1455	1443	+	1526939	1527152
b1457	1444	+	1529921	1530404
b4745	1445	-	1530318	1530504
b1460	1446	+	1531815	1532952
b1461	1447	+	1533051	1533285
b1462	1448	-	1533281	1533851
b1463	1449	+	1534023	1534869
b1464	1450	-	1534964	1535858
b1465	1451	-	1535936	1536617
b1466	1452	-	1536613	1537309
b1467	1453	-	1537308	1538853
b1468	1454	-	1538849	1542590
b1469	1455	-	1542671	1544060
b1471	1456	-	1544757	1545714
b1472	1457	-	1545737	1546028
b1473	1458	-	1546287	1547169
b1474	1459	+	1547400	1550448
b1475	1460	+	1550460	1551345
b1476	1461	+	1551337	1551991
b1477	1462	-	1552397	1552682
b1478	1463	-	1552827	1553838
b1479	1464	-	1553971	1555669
b1480	1465	-	1555825	1555963
b1481	1466	-	1556064	1556280
b1482	1467	+	1556624	1557056
b1483	1468	-	1557111	1558038
b1484	1469	-	1558030	1559017
b1485	1470	-	1559013	1559910
b1486	1471	-	1559906	1560929
b1487	1472	-	1560930	1562481
b1488	1473	-	1562494	1563076
b1489	1474	-	1563333	1565733
b1490	1475	-	1565757	1567140
b4746	1476	-	1567177	1567219
b1491	1477	-	1567503	1568823
b1492	1478	-	1568953	1570489
b1493	1479	-	1570644	1572045
b1494	1480	-	1572406	1575202
b1495	1481	-	1575246	1577619
b1496	1482	-	1577656	1579342
b4747	1483	+	1579544	1579667
b1497	1484	-	1579632	1580790
b1498	1485	-	1580841	1582524
b1499	1486	-	1582925	1583687
b1500	1487	-	1583761	1583959
b1501	1488	-	1584206	1586486
b1502	1489	-	1586819	1587734
b1503	1490	-	1587792	1588296
b1504	1491	-	1588308	1588839
b1505	1492	-	1588852	1590001
b1507	1493	-	1590853	1592176
b1508	1494	-	1592175	1592442
b1511	1495	-	1598616	1600209
b1512	1496	-	1600287	1601241
b1513	1497	+	1601489	1603025
b1514	1498	+	1603018	1604047
b1515	1499	+	1604046	1605039
b1516	1500	+	1605050	1606073
b1517	1501	+	1606099	1606975
b1518	1502	+	1606998	1607289
b1519	1503	+	1607345	1608104
b1520	1504	-	1608107	1609022
b1521	1505	-	1609228	1610680
b1522	1506	-	1610906	1611854
b1523	1507	-	1611965	1612325
b1524	1508	-	1612324	1613251
b1525	1509	-	1613314	1614703
b1526	1510	+	1614803	1615685
b1527	1511	+	1615762	1616878
b1528	1512	+	1617027	1618218
b1529	1513	-	1618242	1618908
b1530	1514	+	1619119	1619554
b1531	1515	+	1619573	1619957
b1532	1516	+	1619988	1620207
b1533	1517	-	1620237	1621137
b1534	1518	+	1621331	1622519
b4599	1519	+	1622645	1622741
b4775	1520	+	1622740	1622845
b1535	1521	-	1622959	1623850
b1536	1522	-	1624104	1624497
b1537	1523	+	1624772	1625291
b1538	1524	-	1625334	1627380
b1539	1525	+	1627516	1628263
b1540	1526	+	1628351	1629038
b1541	1527	+	1629214	1629418
b1542	1528	-	1629452	1630913
b1543	1529	-	1631001	1632285
b4748	1530	+	1632889	1633003
b1544	1531	+	1633071	1633305
b1545	1532	+	1633621	1634212
b1546	1533	-	1634309	1634885
b1547	1534	-	1634884	1635847
b1548	1535	-	1635797	1636367
b4533	1536	+	1636755	1636989
b1549	1537	+	1637046	1637457
b1550	1538	-	1637608	1637782
b1551	1539	-	1637953	1638109
b4749	1540	-	1638187	1638253
b4724	1541	-	1638255	1638444
b1552	1542	-	1638454	1638667
b1553	1543	-	1639029	1639527
b4689	1544	-	1639079	1639334
b1554	1545	-	1639523	1640057
b1555	1546	-	1640053	1640365
b1556	1547	-	1640369	1640585
b4776	1548	+	1640804	1640975
b1557	1549	-	1641338	1641554
b1558	1550	+	1641854	1642067
b4750	1551	+	1642121	1642211
b1559	1552	-	1642488	1643241
b1560	1553	-	1643254	1644304
b1561	1554	-	1644650	1644902
b1562	1555	-	1645118	1645274
b1563	1556	-	1645345	1645633
b1564	1557	-	1645632	1645872
b1565	1558	+	1645896	1646202
b1566	1559	+	1646404	1646737
b1567	1560	-	1647173	1647323
b1568	1561	-	1647345	1647636
b1569	1562	-	1647619	1647850
b1570	1563	+	1647933	1648341
b1571	1564	+	1648507	1648663
b1572	1565	+	1648664	1648793
b1573	1566	+	1648822	1649041
b1575	1567	+	1649608	1649797
b1576	1568	+	1649793	1649985
b4534	1569	-	1652727	1652838
b1580	1570	-	1652895	1653915
b1581	1571	-	1653926	1655141
b1582	1572	-	1655346	1655673
b1583	1573	+	1655807	1656149
b1584	1574	+	1656183	1656744
b1585	1575	-	1656746	1657457
b1586	1576	+	1657564	1657870
b1587	1577	+	1658068	1660495
b1588	1578	+	1660555	1662979
b1589	1579	+	1662989	1663607
b1590	1580	+	1663608	1664463
b1591	1581	+	1664505	1665120
b1592	1582	+	1665314	1666571
b1593	1583	-	1666523	1667219
b1594	1584	-	1667343	1668564
b1595	1585	-	1668698	1669592
b1596	1586	+	1669698	1670952
b1597	1587	+	1671375	1671684
b4601	1588	+	1671776	1671860
b1598	1589	+	1671959	1672781
b1599	1590	-	1672819	1673149
b1600	1591	-	1673135	1673501
b4777	1592	-	1673607	1673709
b1601	1593	+	1673912	1674947
b1602	1594	-	1674971	1676360
b1603	1595	-	1676370	1677903
b1604	1596	+	1678426	1679371
b1605	1597	+	1679556	1680939
b1606	1598	+	1680975	1681698
b1607	1599	-	1681694	1682030
b1608	1600	+	1682158	1682878
b1609	1601	+	1682881	1684183
b1610	1602	+	1684258	1685188
b1611	1603	-	1685184	1686588
b1612	1604	-	1686730	1688377
b1613	1605	+	1688575	1689751
b1614	1606	+	1689851	1691360
b1615	1607	-	1691585	1692851
b1616	1608	-	1692889	1694263
b1617	1609	-	1694259	1696071
b1618	1610	-	1696461	1697052
b1619	1611	-	1697272	1698040
b1620	1612	-	1698151	1699180
b1621	1613	+	1699354	1700947
b1622	1614	+	1700956	1702129
b1623	1615	+	1702232	1703234
b1624	1616	-	1703267	1704308
b4409	1617	+	1704550	1704676
b1625	1618	+	1704948	1705164
b1626	1619	+	1705249	1705690
b1627	1620	+	1705766	1706348
b1628	1621	+	1706347	1706926
b1629	1622	+	1706918	1709141
b1630	1623	+	1709141	1710200
b1631	1624	+	1710203	1710824
b1632	1625	+	1710827	1711523
b1633	1626	+	1711522	1712158
b1634	1627	+	1712768	1714271
b1635	1628	+	1714376	1714982
b1636	1629	-	1715025	1715889
b1637	1630	-	1715947	1717222
b1638	1631	-	1717350	1718007
b1639	1632	-	1718065	1718395
b1640	1633	-	1718492	1719602
b1641	1634	+	1719875	1720343
b1642	1635	-	1720389	1720824
b1643	1636	+	1721024	1721261
b1644	1637	+	1721263	1722121
b1645	1638	+	1722120	1724133
b1646	1639	-	1724133	1724655
b1647	1640	-	1724735	1725632
b1648	1641	-	1725680	1725920
b1649	1642	+	1726022	1726622
b1650	1643	+	1726658	1727756
b1651	1644	+	1727836	1728244
b1652	1645	+	1728346	1728994
b1653	1646	+	1729086	1733703
b1654	1647	-	1733753	1734101
b1655	1648	+	1734434	1735250
b1656	1649	+	1735377	1735959
b1657	1650	-	1736120	1737290
b4602	1651	-	1737455	1737545
b1658	1652	+	1737843	1738869
b1659	1653	-	1738865	1739798
b1660	1654	+	1739910	1741122
b1661	1655	+	1741412	1742561
b1662	1656	-	1742600	1743242
b1663	1657	+	1743456	1744830
b1664	1658	-	1744870	1746127
b1667	1659	+	1746699	1747005
b1668	1660	+	1747130	1748735
b1669	1661	-	1748746	1749559
b1670	1662	-	1749562	1750348
b1671	1663	-	1750344	1751013
b1672	1664	-	1751076	1751724
b1673	1665	-	1751727	1753830
b1674	1666	-	1753850	1754477
b1675	1667	-	1754931	1755141
b4817	1668	+	1755495	1755690
b1676	1669	+	1755697	1757110
b1677	1670	+	1757420	1757657
b1678	1671	-	1757720	1758725
b1679	1672	-	1758873	1759290
b1680	1673	-	1759302	1760523
b1681	1674	-	1760519	1761791
b1682	1675	-	1761765	1762512
b1683	1676	-	1762521	1764009
b1684	1677	-	1764017	1764386
b1685	1678	-	1764933	1765122
b1686	1679	-	1765221	1765632
b1687	1680	-	1765628	1768685
b1688	1681	+	1769073	1770186
b1689	1682	+	1770614	1770971
b1690	1683	+	1771070	1772285
b1691	1684	+	1772511	1773777
b1692	1685	+	1773788	1774655
b1693	1686	+	1774685	1775444
b1694	1687	+	1775586	1777182
b1695	1688	+	1777195	1778347
b1696	1689	-	1778389	1779301
b1697	1690	+	1779616	1780381
b1698	1691	+	1780400	1781339
b1699	1692	+	1781394	1782684
b1700	1693	+	1782680	1782974
b1701	1694	+	1782976	1784677
b1702	1695	-	1784733	1787112
b1703	1696	+	1787444	1788278
b1704	1697	+	1788434	1789481
b1705	1698	+	1789612	1789804
b1706	1699	-	1789807	1791244
b1707	1700	-	1791306	1792020
b1708	1701	-	1792266	1792731
b1709	1702	-	1792808	1793558
b1710	1703	-	1793557	1794109
b1711	1704	-	1794171	1795152
b1712	1705	-	1795252	1795552
b1713	1706	-	1795556	1797944
b1714	1707	-	1797958	1798942
b1715	1708	-	1799225	1799270
b1716	1709	-	1799392	1799749
b1717	1710	-	1799801	1799999
b1718	1711	-	1800095	1800638
b1719	1712	-	1800641	1802570
b4535	1713	+	1805164	1805272
b1722	1714	-	1805324	1806083
b1723	1715	+	1806369	1807299
b1724	1716	+	1807399	1807690
b1725	1717	+	1807795	1808656
b1726	1718	-	1808696	1809233
b1727	1719	+	1809379	1810048
b1728	1720	+	1810210	1810801
b1729	1721	+	1810933	1812325
b1730	1722	-	1812328	1813132
b1731	1723	-	1813420	1813663
b1732	1724	+	1813866	1816128
b1733	1725	-	1816385	1817135
b1734	1726	-	1817147	1818500
b1735	1727	-	1818604	1819447
b1736	1728	-	1819454	1819805
b1737	1729	-	1819855	1821214
b1738	1730	-	1821298	1821619
b1739	1731	-	1821917	1822256
b1740	1732	+	1822457	1823285
b1741	1733	+	1823514	1824402
b1742	1734	-	1824361	1824937
b1743	1735	-	1825139	1825625
b1744	1736	-	1825954	1826923
b1745	1737	-	1826915	1828259
b1746	1738	-	1828255	1829734
b1747	1739	-	1829730	1830765
b1748	1740	-	1830761	1831982
b1749	1741	+	1832427	1833234
b1750	1742	+	1833400	1834111
b1751	1743	+	1834115	1834793
b1752	1744	+	1834807	1835515
b1753	1745	+	1835514	1836063
b1754	1746	+	1836072	1837239
b1755	1747	+	1837211	1838747
b1756	1748	+	1838746	1839400
b1757	1749	+	1839466	1840774
b1758	1750	-	1840782	1841403
b1759	1751	+	1841489	1841897
b1760	1752	-	1841862	1842135
b1761	1753	+	1842370	1843714
b1762	1754	-	1843830	1844871
b1763	1755	-	1844998	1846960
b1764	1756	-	1846964	1848008
b1765	1757	-	1848124	1848676
b1766	1758	+	1848836	1850693
b1767	1759	+	1850859	1851876
b1768	1760	+	1851886	1852528
b1769	1761	-	1852620	1853979
b1770	1762	-	1854095	1854854
b1771	1763	-	1854990	1855971
b1772	1764	-	1855980	1856928
b1773	1765	-	1856932	1857769
b1774	1766	-	1857789	1858833
b1775	1767	-	1858849	1860229
b1776	1768	-	1860255	1861332
b1777	1769	-	1861701	1861974
b1778	1770	-	1862015	1862429
b1779	1771	+	1862770	1863766
b1780	1772	+	1863849	1864734
b1781	1773	-	1864781	1865636
b1782	1774	-	1865725	1866472
b1783	1775	+	1866907	1868842
b1784	1776	+	1868954	1870238
b1785	1777	+	1870384	1871860
b1786	1778	+	1872040	1873531
b1787	1779	+	1873573	1874077
b1788	1780	-	1874077	1874182
b1789	1781	+	1874351	1874798
b1790	1782	-	1874754	1875576
b1791	1783	+	1875672	1876854
b1792	1784	+	1876908	1877256
b1793	1785	-	1877277	1877532
b1794	1786	+	1877714	1878740
b4676	1787	+	1878772	1878871
b4675	1788	+	1878873	1878948
b1795	1789	-	1879006	1879255
b1796	1790	-	1879402	1879585
b1797	1791	-	1879588	1879948
b1798	1792	-	1880120	1880759
b1799	1793	-	1880885	1881809
b1800	1794	+	1881911	1882997
b1801	1795	+	1883187	1884633
b1802	1796	+	1884664	1885789
b1803	1797	+	1885844	1886810
b1804	1798	-	1886863	1887991
b1805	1799	-	1888060	1889746
b1806	1800	-	1889950	1890532
b1807	1801	-	1890571	1891267
b1808	1802	-	1891324	1893235
b1809	1803	+	1893366	1893711
b1810	1804	+	1894132	1894432
b1811	1805	-	1894551	1894731
b1812	1806	+	1894804	1896166
b1813	1807	+	1896169	1896748
b1814	1808	+	1896931	1898296
b1815	1809	+	1898426	1900025
b1816	1810	-	1900028	1901585
