Entry	Gene Names (ordered locus)	Entry Name	Gene Ontology IDs	InterPro	Keywords
P0A800	b3649 JW3624	RPOZ_ECOLI	GO:0000345; GO:0003677; GO:0003899; GO:0005829; GO:0006351; GO:0008023; GO:0009408; GO:0030880; GO:0031564; GO:0032784; GO:0036460; GO:0042128; GO:0044780; GO:0048870; GO:0055072; GO:0065003; GO:0071973; GO:0090605; GO:2000142	IPR003716;IPR006110;IPR036161;	3D-structure;Direct protein sequencing;DNA-directed RNA polymerase;Nucleotidyltransferase;Reference proteome;Transcription;Transferase
P0A809	b1861 JW1850	RUVA_ECOLI	GO:0000400; GO:0000725; GO:0005524; GO:0005737; GO:0009314; GO:0009378; GO:0009379; GO:0009432; GO:0016887; GO:0042802; GO:0048476	IPR013849;IPR003583;IPR012340;IPR000085;IPR010994;IPR011114;IPR036267;	3D-structure;ATP-binding;Cytoplasm;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;SOS response
P0A812	b1860 JW1849	RUVB_ECOLI	GO:0000725; GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0009378; GO:0009379; GO:0009411; GO:0009432; GO:0016887; GO:0048476	IPR003593;IPR041445;IPR004605;IPR027417;IPR008824;IPR008823;IPR036388;IPR036390;	ATP-binding;Cytoplasm;DNA damage;DNA recombination;DNA repair;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;SOS response
P0A814	b1863 JW1852	RUVC_ECOLI	GO:0000287; GO:0000725; GO:0003676; GO:0005737; GO:0008821; GO:0009314; GO:0048476	IPR012337;IPR036397;IPR020563;IPR002176;	3D-structure;Cytoplasm;Direct protein sequencing;DNA damage;DNA recombination;DNA repair;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome
P0A817	b2942 JW2909	METK_ECOLI	GO:0000287; GO:0004478; GO:0005524; GO:0005829; GO:0006556; GO:0006730; GO:0030955; GO:0033353; GO:0042802	IPR022631;IPR022630;IPR022629;IPR022628;IPR002133;IPR022636;	3D-structure;Acetylation;ATP-binding;Cobalt;Cytoplasm;Magnesium;Manganese;Metal-binding;Nucleotide-binding;One-carbon metabolism;Potassium;Reference proteome;Transferase
P0A821	b3591 JW3564	SELA_ECOLI	GO:0001514; GO:0004125; GO:0005829; GO:0016260; GO:0030170; GO:0042802; GO:0097056	IPR015424;IPR015421;IPR018319;IPR004534;IPR025862;	Cytoplasm;Protein biosynthesis;Pyridoxal phosphate;Reference proteome;Selenium;Transferase
P0A825	b2551 JW2535	GLYA_ECOLI	GO:0004372; GO:0005737; GO:0005829; GO:0006546; GO:0006564; GO:0006565; GO:0006730; GO:0008270; GO:0016020; GO:0019264; GO:0030170; GO:0035999; GO:0042802; GO:0046653; GO:0046655; GO:0070905	IPR015424;IPR015421;IPR015422;IPR001085;IPR019798;IPR039429;	3D-structure;Acetylation;Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;One-carbon metabolism;Pyridoxal phosphate;Reference proteome;Transferase
P0A830	b3528 JW3496	DCTA_ECOLI	GO:0005886; GO:0005887; GO:0006974; GO:0015138; GO:0015141; GO:0015183; GO:0015366; GO:0015741; GO:0016020; GO:0016021; GO:0022857; GO:0070778	IPR023954;IPR001991;IPR018107;IPR036458;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport
P0A832	b2620 JW2601	SSRP_ECOLI	GO:0003723; GO:0005829; GO:0070929; GO:0070930	IPR023620;IPR000037;IPR020081;	3D-structure;Cytoplasm;Direct protein sequencing;Reference proteome;RNA-binding
P0A836	b0728 JW0717	SUCC_ECOLI	GO:0000287; GO:0004775; GO:0005524; GO:0005737; GO:0005829; GO:0006099; GO:0006104; GO:0009361; GO:0042709	IPR011761;IPR013650;IPR013815;IPR005811;IPR017866;IPR005809;IPR016102;	3D-structure;ATP-binding;Direct protein sequencing;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome;Tricarboxylic acid cycle
P0A840	b2744 JW2714	SURE_ECOLI	GO:0000166; GO:0004309; GO:0005737; GO:0008253; GO:0008254; GO:0030145; GO:0046050; GO:0050484; GO:0106411	IPR030048;IPR002828;IPR036523;	Cobalt;Cytoplasm;Hydrolase;Magnesium;Manganese;Metal-binding;Nickel;Nucleotide-binding;Reference proteome;Zinc
P0A847	b0406 JW0396	TGT_ECOLI	GO:0002099; GO:0005737; GO:0005829; GO:0008270; GO:0008479; GO:0008616; GO:0101030	IPR004803;IPR036511;IPR002616;	Direct protein sequencing;Glycosyltransferase;Metal-binding;Queuosine biosynthesis;Reference proteome;Transferase;tRNA processing;Zinc
P0A850	b0436 JW0426	TIG_ECOLI	GO:0003755; GO:0005829; GO:0007049; GO:0009408; GO:0015031; GO:0016020; GO:0042802; GO:0043022; GO:0043335; GO:0044183; GO:0051083; GO:0051301; GO:0061077	IPR046357;IPR001179;IPR005215;IPR008880;IPR037041;IPR008881;IPR036611;IPR027304;	3D-structure;ADP-ribosylation;Cell cycle;Cell division;Chaperone;Cytoplasm;Direct protein sequencing;Isomerase;Reference proteome;Rotamase
P0A853	b3708 JW3686	TNAA_ECOLI	GO:0005829; GO:0006569; GO:0009034; GO:0016020; GO:0030170; GO:0030955; GO:0032991; GO:0042802; GO:0060187; GO:0080146	IPR001597;IPR011166;IPR015424;IPR015421;IPR015422;IPR013440;IPR018176;	3D-structure;Acetylation;Cytoplasm;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome;Tryptophan catabolism
P0A855	b0740 JW5100	TOLB_ECOLI	GO:0007049; GO:0015031; GO:0016020; GO:0017038; GO:0019904; GO:0030288; GO:0032153; GO:0032991; GO:0042597; GO:0043213; GO:0044877; GO:0051301; GO:0071237; GO:1905153	IPR011042;IPR011659;IPR014167;IPR007195;	3D-structure;Cell cycle;Cell division;Direct protein sequencing;Periplasm;Reference proteome;Signal
P0A858	b3919 JW3890	TPIS_ECOLI	GO:0004807; GO:0005829; GO:0006094; GO:0006096; GO:0016020; GO:0019563; GO:0042802; GO:0046166	IPR013785;IPR035990;IPR022896;IPR000652;IPR020861;	3D-structure;Cytoplasm;Direct protein sequencing;Gluconeogenesis;Glycolysis;Isomerase;Reference proteome
P0A862	b1324 JW1317	TPX_ECOLI	GO:0005737; GO:0005829; GO:0008379; GO:0032843; GO:0034599; GO:0042597	IPR013740;IPR036249;IPR013766;IPR002065;IPR018219;	3D-structure;Antioxidant;Cytoplasm;Direct protein sequencing;Disulfide bond;Oxidoreductase;Periplasm;Peroxidase;Redox-active center;Reference proteome
P0A870	b0008 JW0007	TALB_ECOLI	GO:0004801; GO:0005829; GO:0005975; GO:0009052; GO:0016020; GO:0016744	IPR013785;IPR001585;IPR004730;IPR018225;	3D-structure;Cytoplasm;Direct protein sequencing;Pentose shunt;Reference proteome;Schiff base;Transferase
P0A873	b2607 JW2588	TRMD_ECOLI	GO:0000287; GO:0002939; GO:0005829; GO:0009019; GO:0030488; GO:0042802; GO:0052906	IPR029028;IPR002649;IPR023148;IPR029026;IPR016009;	3D-structure;Cytoplasm;Direct protein sequencing;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing
P0A879	b1261 JW1253	TRPB_ECOLI	GO:0000162; GO:0004834; GO:0005737; GO:0005829; GO:0009073; GO:0030170; GO:0042802	IPR001926;IPR006653;IPR006654;IPR023026;IPR036052;	3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome;Tryptophan biosynthesis
P0A884	b2827 JW2795	TYSY_ECOLI	GO:0000287; GO:0003723; GO:0004799; GO:0005829; GO:0006231; GO:0006235; GO:0006417; GO:0009314; GO:0032259	IPR045097;IPR023451;IPR036926;IPR000398;IPR020940;	3D-structure;Cytoplasm;Direct protein sequencing;Formylation;Methyltransferase;Nucleotide biosynthesis;Reference proteome;Repressor;RNA-binding;Transferase;Translation regulation
P0A887	b3833 JW5581	UBIE_ECOLI	GO:0005737; GO:0006744; GO:0008168; GO:0009060; GO:0009234; GO:0030580; GO:0032259; GO:0043333; GO:0043770; GO:0102027; GO:0102094; GO:0102955; GO:0110142	IPR029063;IPR004033;IPR023576;	Cytoplasm;Menaquinone biosynthesis;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;Ubiquinone biosynthesis
P0A890	b3470 JW3435	TUSA_ECOLI	GO:0002143; GO:0005829; GO:0006777; GO:0019448; GO:0097163; GO:1990329	IPR022931;IPR001455;IPR036868;	3D-structure;Cytoplasm;Reference proteome;tRNA processing
P0A894	b3205 JW3172	RAPZ_ECOLI	GO:0003723; GO:0005524; GO:0005525; GO:0032991; GO:0050779; GO:0060090; GO:0097367	IPR027417;IPR005337;	3D-structure;Acetylation;ATP-binding;GTP-binding;Nucleotide-binding;Reference proteome;RNA-binding
P0A898	b0659 JW0656	YBEY_ECOLI	GO:0000478; GO:0004222; GO:0005737; GO:0006364; GO:0006412; GO:0008270; GO:0009408; GO:0016151; GO:0016892; GO:0030490; GO:0031564; GO:0042254; GO:0042274	IPR023091;IPR002036;IPR020549;	3D-structure;Cytoplasm;Endonuclease;Hydrolase;Metal-binding;Nuclease;Reference proteome;Ribosome biogenesis;rRNA processing;Zinc
P0A8A4	b1703 JW1693	PSRP_ECOLI	GO:0004674; GO:0005524; GO:0005829; GO:0006468; GO:0006470; GO:0016776; GO:0030234; GO:0033673; GO:0033674; GO:0043531	IPR005177;IPR026530;	Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase
P0A8D6	b1045 JW1032	YMDB_ECOLI	GO:0001883; GO:0019213; GO:0042278; GO:0046677; GO:0060698; GO:0060702; GO:0061463; GO:1900231	IPR002589;IPR043472;IPR024900;	3D-structure;Hydrolase;Reference proteome;Stress response
P0A8F0	b2498 JW2483	UPP_ECOLI	GO:0000287; GO:0004845; GO:0005525; GO:0005737; GO:0005829; GO:0006223; GO:0016020; GO:0042802; GO:0044206; GO:0097216	IPR000836;IPR029057;IPR034332;IPR005765;	3D-structure;Allosteric enzyme;Direct protein sequencing;Glycosyltransferase;GTP-binding;Magnesium;Nucleotide-binding;Reference proteome;Transferase
P0A8F8	b0779 JW0762	UVRB_ECOLI	GO:0000715; GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0006294; GO:0009314; GO:0009380; GO:0009381; GO:0009432; GO:0016887; GO:0033683; GO:0042802	IPR006935;IPR014001;IPR001650;IPR027417;IPR001943;IPR036876;IPR004807;IPR041471;IPR024759;	3D-structure;ATP-binding;Cytoplasm;Direct protein sequencing;DNA damage;DNA excision;DNA repair;Excision nuclease;Nucleotide-binding;Reference proteome;SOS response
P0A8G0	b1913 JW1898	UVRC_ECOLI	GO:0003677; GO:0005737; GO:0006974; GO:0009314; GO:0009380; GO:0009381; GO:0009432; GO:0033683	IPR000305;IPR035901;IPR003583;IPR010994;IPR001943;IPR036876;IPR004791;IPR001162;IPR038476;	3D-structure;Cytoplasm;DNA damage;DNA excision;DNA repair;Excision nuclease;Reference proteome;SOS response
P0A8G6	b1004 JW0989	NQOR_ECOLI	GO:0003955; GO:0005829; GO:0006979; GO:0008753; GO:0010181; GO:0016020; GO:0032991; GO:0042802; GO:0050136; GO:0050660; GO:0050661; GO:0051287	IPR008254;IPR029039;IPR010089;IPR005025;IPR037513;	3D-structure;Acetylation;Direct protein sequencing;Flavoprotein;FMN;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
P0A8G9	b0422 JW0412	EX7S_ECOLI	GO:0000738; GO:0005829; GO:0006298; GO:0008855; GO:0009318	IPR003761;IPR037004;	Cytoplasm;Direct protein sequencing;Exonuclease;Hydrolase;Nuclease;Reference proteome
P0A8H6	b3866 JW3837	YIHI_ECOLI	GO:0005096; GO:0005829; GO:0042254; GO:0043547; GO:0090071	IPR007336;	GTPase activation;Reference proteome;Ribosome biogenesis
P0A8I1	b2949 JW2916	YQGF_ECOLI	GO:0000967; GO:0005737; GO:0008296; GO:0042254	IPR012337;IPR005227;IPR006641;IPR037027;	3D-structure;Cytoplasm;Hydrolase;Nuclease;Reference proteome;Ribosome biogenesis
P0A8I5	b2960 JW2927	TRMB_ECOLI	GO:0008176; GO:0030488; GO:0036265; GO:0043527; GO:0106004	IPR029063;IPR003358;	3D-structure;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing
P0A8I8	b0636 JW0631	RLMH_ECOLI	GO:0005737; GO:0031167; GO:0042803; GO:0043022; GO:0070038; GO:0070475	IPR029028;IPR003742;IPR029026;	3D-structure;Cytoplasm;Methyltransferase;Reference proteome;rRNA processing;S-adenosyl-L-methionine;Transferase
P0A8J2	b4362 JW4326	DNAT_ECOLI	GO:0000287; GO:0003697; GO:0006261; GO:0006268; GO:0006269; GO:0031297; GO:0042802; GO:0070207; GO:1990077; GO:1990158; GO:1990159	IPR020917;IPR040480;	3D-structure;Direct protein sequencing;DNA replication;Primosome;Reference proteome
P0A8J8	b3780 JW3753	RHLB_ECOLI	GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0006396; GO:0006401; GO:0016020; GO:0016887; GO:0097718; GO:1990061	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR023554;IPR014014;	ATP-binding;Cytoplasm;Direct protein sequencing;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;RNA-binding
P0A8K1	b4160 JW4121	PSD_ECOLI	GO:0004609; GO:0005886; GO:0006646; GO:0016540; GO:0031638	IPR003817;IPR033177;IPR033178;	Cell membrane;Decarboxylase;Direct protein sequencing;Formylation;Lipid biosynthesis;Lipid metabolism;Lyase;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Pyruvate;Reference proteome;Zymogen
P0A8L1	b0893 JW0876	SYS_ECOLI	GO:0000287; GO:0004828; GO:0005524; GO:0005829; GO:0006434; GO:0016260; GO:0042802; GO:0097056	IPR002314;IPR006195;IPR045864;IPR002317;IPR015866;IPR042103;IPR033729;IPR010978;	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
P0A8M0	b0930 JW0913	SYN_ECOLI	GO:0003676; GO:0004816; GO:0005524; GO:0005737; GO:0006418; GO:0006421	IPR004364;IPR006195;IPR045864;IPR004522;IPR002312;IPR012340;IPR004365;	Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
P0A8M3	b1719 JW1709	SYT_ECOLI	GO:0000049; GO:0000900; GO:0002161; GO:0003723; GO:0004812; GO:0004829; GO:0005524; GO:0005737; GO:0005829; GO:0006417; GO:0006418; GO:0006435; GO:0008270; GO:0043039; GO:0045947; GO:0046677; GO:0048027	IPR002314;IPR006195;IPR045864;IPR004154;IPR036621;IPR012675;IPR004095;IPR012676;IPR002320;IPR018163;IPR033728;IPR012947;	3D-structure;Acetylation;Aminoacyl-tRNA synthetase;Antibiotic resistance;ATP-binding;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;Repressor;RNA-binding;Translation regulation;tRNA-binding;Zinc
P0A8N0	b0956 JW0939	MATP_ECOLI	GO:0005543; GO:0005737; GO:0006355; GO:0007049; GO:0007059; GO:0043565; GO:0051276; GO:0051289; GO:0051301; GO:0097047	IPR013321;IPR009390;IPR035375;IPR035087;IPR038339;	3D-structure;Cell cycle;Cell division;Cytoplasm;DNA-binding;Reference proteome
P0A8N3	b2890 JW2858	SYK1_ECOLI	GO:0000049; GO:0000287; GO:0004824; GO:0005524; GO:0005829; GO:0006418; GO:0006430; GO:0016020; GO:0016874	IPR004364;IPR006195;IPR045864;IPR002313;IPR034762;IPR044136;IPR018149;IPR012340;IPR004365;	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome
P0A8N5	b4129 JW4090	SYK2_ECOLI	GO:0000049; GO:0000287; GO:0004824; GO:0005524; GO:0005829; GO:0006418; GO:0006430; GO:0016020; GO:0016874	IPR004364;IPR006195;IPR045864;IPR002313;IPR034762;IPR044136;IPR018149;IPR012340;IPR004365;	3D-structure;Acetylation;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome
P0A8N7	b4155 JW4116	EPMA_ECOLI	GO:0000049; GO:0004824; GO:0005524; GO:0005829; GO:0006430; GO:0016880; GO:0052868; GO:0071468; GO:0071915; GO:0072581	IPR004364;IPR006195;IPR045864;IPR004525;IPR018149;	3D-structure;ATP-binding;Ligase;Nucleotide-binding;Reference proteome
P0A8P6	b3811 JW3784	XERC_ECOLI	GO:0003677; GO:0005737; GO:0006276; GO:0006313; GO:0007049; GO:0007059; GO:0009009; GO:0009037; GO:0042150; GO:0048476; GO:0051301; GO:0071139	IPR044068;IPR011010;IPR013762;IPR002104;IPR010998;IPR004107;IPR011931;IPR023009;	3D-structure;Cell cycle;Cell division;Chromosome partition;Cytoplasm;Direct protein sequencing;DNA integration;DNA recombination;DNA-binding;Reference proteome
P0A8P8	b2894 JW2862	XERD_ECOLI	GO:0003677; GO:0005737; GO:0006276; GO:0006313; GO:0007049; GO:0007059; GO:0009009; GO:0009037; GO:0009314; GO:0048476; GO:0051301; GO:0071139	IPR044068;IPR011010;IPR013762;IPR002104;IPR010998;IPR004107;IPR011932;IPR023009;	3D-structure;Cell cycle;Cell division;Chromosome partition;Cytoplasm;Direct protein sequencing;DNA integration;DNA recombination;DNA-binding;Reference proteome
P0A8Q0	b4152 JW4113	FRDC_ECOLI	GO:0000104; GO:0005886; GO:0006113; GO:0009061; GO:0016020; GO:0016021; GO:0044780; GO:0045284; GO:0071973; GO:0102040	IPR003510;IPR034804;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P0A8Q3	b4151 JW4112	FRDD_ECOLI	GO:0000104; GO:0005886; GO:0005887; GO:0006106; GO:0006113; GO:0009061; GO:0016020; GO:0044780; GO:0045284; GO:0102040	IPR003418;IPR034804;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
P0A8S1	b2916 JW2883	ARGP_ECOLI	GO:0003681; GO:0003700; GO:0006355; GO:0032297; GO:0043565; GO:0045892; GO:0045893	IPR017685;IPR023490;IPR005119;IPR000847;IPR036388;IPR036390;	Activator;Direct protein sequencing;DNA-binding;Reference proteome;Transcription;Transcription regulation
P0A8S9	b1892 JW1881	FLHD_ECOLI	GO:0003677; GO:0005667; GO:0005737; GO:0006351; GO:0044780; GO:0045893; GO:1902210	IPR023559;IPR036194;	3D-structure;Activator;Bacterial flagellum biogenesis;Cytoplasm;Disulfide bond;DNA-binding;Reference proteome;Transcription;Transcription regulation
P0A8T1	b3259 JW3227	PRMA_ECOLI	GO:0005829; GO:0008276; GO:0016279; GO:0018012; GO:0018023; GO:0071885	IPR004498;IPR029063;	Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
P0A8T7	b3988 JW3951	RPOC_ECOLI	GO:0000287; GO:0000345; GO:0003677; GO:0003899; GO:0005737; GO:0005829; GO:0006351; GO:0008023; GO:0008270; GO:0009408; GO:0016020; GO:0031564; GO:0032784; GO:0036460; GO:0042128; GO:0044780; GO:0046677; GO:0048870; GO:0055072; GO:0071973; GO:0090605; GO:2000142	IPR045867;IPR012754;IPR000722;IPR006592;IPR007080;IPR007066;IPR042102;IPR007083;IPR007081;IPR044893;IPR038120;	3D-structure;Acetylation;Antibiotic resistance;Direct protein sequencing;DNA-directed RNA polymerase;Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transcription;Transferase;Zinc
P0A8V0	b2268 JW2263	RBN_ECOLI	GO:0004518; GO:0004532; GO:0008033; GO:0008270; GO:0016891; GO:0016896; GO:0042779; GO:0042781; GO:0046872	IPR001279;IPR036866;IPR013469;IPR013471;	3D-structure;Endonuclease;Exonuclease;Hydrolase;Metal-binding;Nuclease;Reference proteome;tRNA processing;Zinc
P0A8V2	b3987 JW3950	RPOB_ECOLI	GO:0000345; GO:0003677; GO:0003899; GO:0005737; GO:0005829; GO:0006351; GO:0008023; GO:0009408; GO:0016020; GO:0031564; GO:0032549; GO:0032784; GO:0036460; GO:0042128; GO:0044780; GO:0046677; GO:0048870; GO:0055072; GO:0071973; GO:0090605; GO:2000142	IPR042107;IPR019462;IPR015712;IPR007120;IPR037033;IPR010243;IPR007121;IPR007644;IPR007642;IPR037034;IPR007645;IPR007641;IPR014724;	3D-structure;Acetylation;Antibiotic resistance;Direct protein sequencing;DNA-directed RNA polymerase;Nucleotidyltransferase;Reference proteome;Transcription;Transferase
P0A8V6	b1187 JW1176	FADR_ECOLI	GO:0000062; GO:0003677; GO:0003700; GO:0005829; GO:0006631; GO:0019217; GO:0045723; GO:0045892	IPR014178;IPR028374;IPR008920;IPR000524;IPR036388;IPR036390;	3D-structure;Activator;Cytoplasm;Direct protein sequencing;DNA-binding;Fatty acid metabolism;Lipid metabolism;Reference proteome;Repressor;Transcription;Transcription regulation
P0A8Y1	b4374 JW4336	YJJG_ECOLI	GO:0000166; GO:0005737; GO:0008253; GO:0009410; GO:0016791; GO:0030145; GO:0050340; GO:0106411	IPR036412;IPR006439;IPR011951;IPR041492;IPR023214;IPR023198;	Cobalt;Cytoplasm;Hydrolase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Reference proteome
P0A8Y3	b3885 JW5566	YIHX_ECOLI	GO:0000287; GO:0008877; GO:0030145	IPR036412;IPR006439;IPR041492;IPR023214;IPR023198;	3D-structure;Hydrolase;Magnesium;Manganese;Metal-binding;Reference proteome
P0A8Y5	b3697 JW3674	YIDA_ECOLI	GO:0000287; GO:0005829; GO:0016791; GO:0050308	IPR000150;IPR036412;IPR006379;IPR023214;	3D-structure;Hydrolase;Magnesium;Metal-binding;Reference proteome
P0A8Y8	b0597 JW0589	ENTH_ECOLI	GO:0005829; GO:0009239; GO:0016289; GO:0016788; GO:0016790; GO:0042802; GO:0061522	IPR029069;IPR003736;IPR026576;IPR006683;	3D-structure;Cytoplasm;Hydrolase;Reference proteome
P0A903	b2477 JW2462	BAMC_ECOLI	GO:0009986; GO:0016020; GO:0042802; GO:0043165; GO:0051205; GO:1990063	IPR014524;IPR042268;IPR010653;	3D-structure;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P0A910	b0957 JW0940	OMPA_ECOLI	GO:0006811; GO:0006974; GO:0009279; GO:0009597; GO:0015075; GO:0015288; GO:0016020; GO:0016021; GO:0019867; GO:0030288; GO:0042802; GO:0045203; GO:0046718; GO:0046930; GO:0106234	IPR011250;IPR006664;IPR002368;IPR006665;IPR006690;IPR036737;IPR000498;	3D-structure;Cell outer membrane;Conjugation;Direct protein sequencing;Disulfide bond;Host-virus interaction;Hydroxylation;Ion transport;Membrane;Porin;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane beta strand;Transport
P0A912	b0741 JW0731	PAL_ECOLI	GO:0007049; GO:0009279; GO:0016020; GO:0016021; GO:0031246; GO:0032153; GO:0051301; GO:1905153	IPR006664;IPR006665;IPR006690;IPR036737;IPR039001;IPR014169;	3D-structure;Cell cycle;Cell division;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P0A921	b3821 JW3794	PA1_ECOLI	GO:0004620; GO:0004622; GO:0004623; GO:0005509; GO:0008970; GO:0009279; GO:0016042; GO:0031230; GO:0042803; GO:0045203; GO:0046471; GO:0052739; GO:0052740	IPR003187;IPR036541;	3D-structure;Calcium;Cell outer membrane;Direct protein sequencing;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Metal-binding;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
P0A924	b1278 JW1270	PGPB_ECOLI	GO:0000810; GO:0005886; GO:0005887; GO:0006655; GO:0008195; GO:0008962; GO:0009252; GO:0009279; GO:0009395; GO:0046474; GO:0050380	IPR036938;IPR000326;	3D-structure;Cell inner membrane;Cell membrane;Cell outer membrane;Direct protein sequencing;Hydrolase;Lipid degradation;Lipid metabolism;Membrane;Phospholipid degradation;Phospholipid metabolism;Reference proteome;Transmembrane;Transmembrane helix
P0A935	b2813 JW2784	MLTA_ECOLI	GO:0004553; GO:0005887; GO:0008933; GO:0009253; GO:0009254; GO:0009279; GO:0016829; GO:0030288; GO:0036405; GO:0071555	IPR010611;IPR026044;IPR034654;IPR005300;IPR036908;	3D-structure;Cell outer membrane;Cell wall biogenesis/degradation;Direct protein sequencing;Lipoprotein;Lyase;Membrane;Palmitate;Reference proteome;Signal
P0A937	b2617 JW2598	BAME_ECOLI	GO:0016020; GO:0030674; GO:0042802; GO:0043165; GO:0046677; GO:0051205; GO:1990063	IPR026592;IPR037873;IPR007450;	3D-structure;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
P0A940	b0177 JW0172	BAMA_ECOLI	GO:0007155; GO:0009279; GO:0016020; GO:0016021; GO:0043165; GO:0051205; GO:1990063	IPR000184;IPR010827;IPR039910;IPR023707;IPR034746;	3D-structure;Cell adhesion;Cell outer membrane;Direct protein sequencing;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane beta strand
P0A944	b4373 JW4335	RIMI_ECOLI	GO:0005737; GO:0006474; GO:0008080; GO:0008999; GO:0016747; GO:0017189; GO:0018393; GO:0061733	IPR006464;IPR016181;IPR000182;IPR043690;	Acyltransferase;Cytoplasm;Reference proteome;Transferase
P0A948	b1066 JW1053	RIMJ_ECOLI	GO:0005737; GO:0005829; GO:0006474; GO:0008080; GO:0008999; GO:0017189; GO:0017198; GO:0042254; GO:1990189	IPR016181;IPR000182;	Acyltransferase;Cytoplasm;Reference proteome;Transferase
P0A951	b1584 JW1576	ATDA_ECOLI	GO:0000287; GO:0004145; GO:0006598; GO:0015936; GO:0046203; GO:0046208; GO:1990235	IPR016181;IPR000182;	3D-structure;Acyltransferase;Cytoplasm;Direct protein sequencing;Magnesium;Metal-binding;Reference proteome;Transferase
P0A953	b2323 JW2320	FABB_ECOLI	GO:0004315; GO:0005829; GO:0006633; GO:1903966	IPR000794;IPR018201;IPR014031;IPR014030;IPR020841;IPR016039;	3D-structure;Acyltransferase;Cytoplasm;Direct protein sequencing;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Reference proteome;Transferase
P0A955	b1850 JW1839	ALKH_ECOLI	GO:0005829; GO:0008152; GO:0008675; GO:0008700; GO:0008948; GO:0016020; GO:0016833; GO:0042802; GO:0106009	IPR000887;IPR013785;IPR031337;IPR031338;	3D-structure;Cytoplasm;Direct protein sequencing;Lyase;Multifunctional enzyme;Reference proteome;Schiff base
P0A959	b2290 JW2287	ALAA_ECOLI	GO:0004021; GO:0005737; GO:0006523; GO:0006974; GO:0008483; GO:0019272; GO:0030170; GO:0030632; GO:0046677	IPR004839;IPR015424;IPR015421;IPR015422;	3D-structure;Amino-acid biosynthesis;Aminotransferase;Cytoplasm;Pyridoxal phosphate;Reference proteome;Transferase
P0A962	b1767 JW1756	ASPG1_ECOLI	GO:0004067; GO:0005737; GO:0005829; GO:0033345; GO:0042802; GO:0051289	IPR006033;IPR036152;IPR006034;IPR020827;IPR027475;IPR040919;IPR027473;IPR041725;IPR027474;IPR037152;	3D-structure;Allosteric enzyme;Cytoplasm;Hydrolase;Reference proteome
