Pathways	Genes of pathway	Object ID	Common-Name
DAPLYSINESYN-PWY	EG10209 // EG10549 // EG10208 // EG10066 // EG10946 // EG10207 // EG10205 // EG10088 // EG10550 // EG10206	DAPLYSINESYN-PWY	L-lysine biosynthesis I
PWY0-461	EG10131 // G6094 // G7596 // G6755 // G6811 // EG11329 // G6646 // EG10361 // G7394 // EG12387	PWY0-461	L-lysine degradation I
LYXMET-PWY	EG11867 // EG12284 // EG12286 // EG10055 // EG12287	LYXMET-PWY	L-lyxose degradation
HOMOSER-METSYN-PWY	EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564	HOMOSER-METSYN-PWY	L-methionine biosynthesis I
GLUTORN-PWY	EG10063 // EG10064 // EG10065 // EG10066 // EG10361 // EG11286	GLUTORN-PWY	L-ornithine biosynthesis I
PHESYN	EG11040 // EG10096 // EG10497 // EG10707 // EG11039	PHESYN	L-phenylalanine biosynthesis I
PROSYN-PWY	EG10769 // EG10767 // EG10768	PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)
RHAMCAT-PWY	EG11866 // EG11868 // EG11867 // EG11865	RHAMCAT-PWY	L-rhamnose degradation I
PWY0-901	EG10943 // EG10941 // EG10947 // EG30092	PWY0-901	L-selenocysteine biosynthesis I (bacteria)
SERSYN-PWY	EG10946 // EG10944 // EG10945	SERSYN-PWY	L-serine biosynthesis I
SERDEG-PWY	EG11623 // EG10990 // EG10930 // G7624	SERDEG-PWY	L-serine degradation
HOMOSER-THRESYN-PWY	EG10999 // EG11000	HOMOSER-THRESYN-PWY	L-threonine biosynthesis
PWY-5437	G7627 // EG10701 // EG20173 // EG11172 // EG10027 // EG10990	PWY-5437	L-threonine degradation I
THREONINE-DEG2-PWY	EG12293 // EG10993 // EG10512	THREONINE-DEG2-PWY	L-threonine degradation II
THRDLCTCAT-PWY	EG12293 // EG10993 // EG13139	THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)
PWY-5436	G6455 // G7285 // EG10031 // M014	PWY-5436	L-threonine degradation IV
TRPSYN-PWY	EG11026 // EG11028 // EG11027 // EG11024 // EG11025	TRPSYN-PWY	L-tryptophan biosynthesis
TRYPDEG-PWY	EG11005	TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)
TYRSYN	EG11040 // EG10096 // EG10707 // EG11039	TYRSYN	L-tyrosine biosynthesis I
VALSYN-PWY	EG10496 // EG10497 // EG10495 // EG10494 // EG10502 // G8221 // EG10501 // EG10500 // EG10499	VALSYN-PWY	L-valine biosynthesis
BGALACT-PWY	EG10527	BGALACT-PWY	lactose degradation III
LIPA-CORESYN-PWY	EG11189 // EG12210 // EG11425 // EG11351 // EG11352 // EG11353 // EG11423 // EG11340 // EG11341 // EG11339	LIPA-CORESYN-PWY	lipid A-core biosynthesis (<i>E. coli</i> K-12)
NAGLIPASYN-PWY	EG10546 // EG11409 // EG12666 // EG10316 // EG10265 // EG10545 // EG50003	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>)
PWY0-501	EG11306 // EG11591 // EG11328 // EG50003	PWY0-501	lipoate biosynthesis and incorporation I
PWY0-1275	EG11796 // EG11306 // EG11328	PWY0-1275	lipoate biosynthesis and incorporation II
PWY0-522	EG11796	PWY0-522	lipoate salvage I
PWY-7884	EG12128 // EG10168 // EG10548 // EG10968 // EG12436 // EG11293 // G6575 // G6574 // G6573 // G6465	PWY-7884	lipoprotein posttranslational modification
MANNIDEG-PWY	EG10616	MANNIDEG-PWY	mannitol degradation I
PWY0-1301	EG10577	PWY0-1301	melibiose degradation
MENAQUINONESYN-PWY	EG11473	MENAQUINONESYN-PWY	menaquinol-8 biosynthesis
NONMEVIPP-PWY	G6237 // EG12715 // EG11081 // G7423 // EG11294 // EG11816 // G7508 // EG10370 // EG11328 // EG10318 // EG12697	NONMEVIPP-PWY	methylerythritol phosphate pathway I
PWY-5386	G6891 // G6099 // EG12026 // G6475 // EG10231	PWY-5386	methylglyoxal degradation I
PWY-5453	G7558 // EG11648 // G7565 // G6967 // G7564 // EG11904	PWY-5453	methylglyoxal degradation III
PWY-5459	EG10035 // EG11963	PWY-5459	methylglyoxal degradation IV
PWY0-1533	EG10721 // EG10717 // EG10716 // EG10718 // EG10722 // EG10719 // EG10725	PWY0-1533	methylphosphonate degradation I
FERMENTATION-PWY	EG20173 // G7288 // EG10027 // G7627 // EG10701 // G7285 // EG10031 // G6775 // EG10803 // EG10804 // G592 // EG10358 // EG10357 // EG10356 // G6903 // EG11162 // EG10948 // EG10576 // EG10756 // EG10285 // EG10478 // EG10475 // EG10480 // EG10479 // EG10476 // EG10477 // EG10330 // EG10331 // EG10332 // EG10333 // EG10402 // EG12316 // EG10489 // EG11328	FERMENTATION-PWY	mixed acid fermentation
PWY-8171	EG11511 // EG10153 // EG10152 // EG10002 // EG12427 // EG10929 // EG10183 // EG10198 // EG10197 // EG10195	PWY-8171	molybdenum cofactor biosynthesis
PWY-6823	EG11595 // EG11597 // EG11598 // EG10154 // G6952 // EG11666 // G6906	PWY-6823	molybdopterin biosynthesis
PWY0-1546	G6621 // G6662 // G6661 // EG10695	PWY0-1546	muropeptide degradation
GLUAMCAT-PWY	EG10633 // EG10632	GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I
PWY0-1324	G7677 // G7676 // G7920 // G7675 // EG10637	PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I
PWY-7801	EG11112 // EG30050 // EG30047 // EG30054 // EG30051 // EG30048 // EG30052 // EG30049 // EG30053	PWY-7801	N-end rule pathway I (prokaryotic)
PWY0-1587	EG11757 // EG11171 // G6991 // G7698	PWY0-1587	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
PYRIDNUCSYN-PWY	G6350 // EG10663 // EG11546 // EG10630 // EG10631	PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I
NADPHOS-DEPHOS-PWY	EG12192 // EG10745 // EG10744	NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation
PYRIDNUCSAL-PWY	G6350 // EG10742 // EG11135 // EG10663	PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)
PWY-7761	G6350 // G7409 // EG10663	PWY-7761	NAD salvage pathway II (PNC IV cycle)
PWY3O-4106	EG11335	PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)
PWY0-1334	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG10173 // EG10174 // G0-10441 // G0-10594	PWY0-1334	NADH to cytochrome <i>bd</i> oxidase electron transfer I
PWY0-1568	EG10649 // EG10173 // EG10174 // G0-10441 // G0-10594	PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II
PWY0-1335	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG10181 // EG10178 // EG10179 // EG10180	PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I
PWY0-1567	EG10649 // EG10181 // EG10178 // EG10179 // EG10180	PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II
PWY0-1348	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG10232 // EG10233 // EG10234	PWY0-1348	NADH to dimethyl sulfoxide electron transfer
PWY0-1336	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG10330 // EG10331 // EG10332 // EG10333	PWY0-1336	NADH to fumarate electron transfer
PWY0-1590	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12244	PWY0-1590	NADH to hydrogen peroxide electron transfer
PWY0-1347	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG11815 // EG11814	PWY0-1347	NADH to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1514	EG11527 // EG11460 // EG10643	PWY0-1514	NarQ Two-Component Signal Transduction System, nitrate dependent
PWY0-1515	EG11527 // EG10646 // EG10643	PWY0-1515	NarX Two-Component Signal Transduction System, nitrate dependent
PWY0-1321	EG11227 // EG11228 // EG11229 // EG11858 // EG11857 // EG11856 // EG10638 // EG10639 // EG10640 // EG10647 // EG10648 // EG10644	PWY0-1321	nitrate reduction III (dissimilatory)
PWY0-1581	EG10391 // EG10392 // EG10393 // EG10638 // EG10639 // EG10640 // EG10647 // EG10648 // EG10644	PWY0-1581	nitrate reduction IX (dissimilatory)
PWY0-1352	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // EG12089 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG10638 // EG10639 // EG10640 // EG10647 // EG10648 // EG10644	PWY0-1352	nitrate reduction VIII (dissimilatory)
PWY0-1573	EG10649 // EG10638 // EG10639 // EG10640	PWY0-1573	nitrate reduction VIIIb (dissimilatory)
PWY0-1584	EG10394 // EG12061 // EG12067 // EG12064 // EG12062	PWY0-1584	nitrate reduction X (dissimilatory, periplasmic)
PWY0-1509	EG10387 // EG10385	PWY0-1509	NtrBC Two-Component Regulatory System
OANTIGEN-PWY	EG11981 // EG11979 // EG12411 // EG11978 // EG11454 // EG12412 // EG12144 // EG11198 // EG10382 // EG11553 // G7463 // EG10702	OANTIGEN-PWY	<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)
PWY-5783	EG10017	PWY-5783	octaprenyl diphosphate biosynthesis
PWY0-1337	G6244 // EG12357 // EG11530 // G7213 // EG10278 // G6105 // G7212 // EG10279 // EG11672	PWY0-1337	oleate &beta;-oxidation
PWY-5971	EG12606 // EG10274 // EG11318 // EG11284 // EG11528 // EG50003	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase)
PWY-6282	EG11528 // EG11284 // EG11318 // EG10274 // EG11542 // EG50003	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
PENTOSE-P-PWY	EG11556 // EG11797 // EG11427 // EG12100 // M004 // EG11827 // EG11443 // G6397 // EG11221 // EG10411	PENTOSE-P-PWY	pentose phosphate pathway
NONOXIPENT-PWY	EG11556 // EG11797 // EG11427 // EG12100 // M004 // EG11827 // EG11443	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I
OXIDATIVEPENT-PWY	G6397 // EG11221 // EG10411	OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I
PEPTIDOGLYCANSYN-PWY	EG10623 // EG10604 // EG11358 // EG11205 // EG10622 // EG10619 // EG10620 // EG11204 // EG10621 // EG10213 // EG10214 // G6561 // EG10344 // EG10607 // G7668 // G7322 // EG10605 // EG10748	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)
PWY0-1586	EG10344 // EG10607 // G7668 // G7322 // EG10202 // EG12867 // G7265 // EG10203 // EG11893 // EG10201 // G6904 // EG10606 // EG10341 // EG10605 // EG10748 // G6892 // G7147 // EG11253	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
PWY0-1599	EG11393 // EG11297	PWY0-1599	periplasmic disulfide bond formation
PWY0-1600	EG11031 // EG12178	PWY0-1600	periplasmic disulfide bond reduction
PWY0-321	G6716 // G6713 // G6709 // G6711 // G6710 // G6718 // G6715 // G6708 // G6719 // G6714	PWY0-321	phenylacetate degradation I (aerobic)
2PHENDEG-PWY	EG13139 // G7961	2PHENDEG-PWY	phenylethylamine degradation I
PWY0-1458	EG10731 // EG10732	PWY0-1458	PhoQP Two-Component Signal Transduction System, magnesium-dependent
PWY0-1483	EG10728 // EG10733	PWY0-1483	PhoRB Two-Component Signal Transduction System, phosphate-dependent
PWY-5669	EG10781 // EG10775	PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I
PANTO-PWY	EG11746 // G6239 // EG10495 // EG11675 // EG10922	PANTO-PWY	phosphopantothenate biosynthesis I
POLYISOPRENSYN-PWY	EG10508 // G6092 // EG11665 // G6439 // EG10705 // EG10017	POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (<i>E. coli</i>)
PWY0-1338	G7168 // G7166 // G7167 // G7169 // G7170	PWY0-1338	polymyxin resistance
PPGPPMET-PWY	EG10413 // EG10835 // EG10966 // EG10650 // EG10032	PPGPPMET-PWY	ppGpp metabolism
PWY0-1597	EG12633 // G6580 // M007 // EG11044	PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis
PWY-6703	EG11375 // G7431 // G7443 // G6245	PWY-6703	preQ<sub>0</sub> biosynthesis
PROUT-PWY-I	EG10801	PROUT-PWY-I	proline degradation
PWY0-1544	EG10801 // EG10181 // EG10178 // EG10179 // EG10180	PWY0-1544	proline to cytochrome <i>bo</i> oxidase electron transfer
PROPIONMET-PWY	EG11444	PROPIONMET-PWY	propanoyl CoA degradation I
PWY0-662	EG10774	PWY0-662	PRPP biosynthesis
PWY-6019	EG12033 // EG11646	PWY-6019	pseudouridine degradation
PWY-7179	EG10222 // EG10030	PWY-7179	purine deoxyribonucleosides degradation I
PWY0-1296	EG10030 // EG12097 // EG10222 // G85 // EG12159 // EG10220	PWY0-1296	purine ribonucleosides degradation
PWY-40	EG10959 // EG10960	PWY-40	putrescine biosynthesis I
PWY-46	EG10961	PWY-46	putrescine biosynthesis III
PUTDEG-PWY	G6755 // EG10036 // G7596	PUTDEG-PWY	putrescine degradation I
PWY0-1221	G6645 // EG10036 // EG11822 // G6644	PWY0-1221	putrescine degradation II
PYRIDOXSYN-PWY	EG11487 // EG10368 // G6237 // EG10693 // G0-9461 // EG10946 // EG10691	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I
PLPSAL-PWY	EG11487 // G7259 // G6879 // EG11309	PLPSAL-PWY	pyridoxal 5'-phosphate salvage I
PWY-7181	EG10137 // EG10219 // EG12159	PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7197	EG12302 // EG11265 // EG10650 // EG10032	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-7184	EG10572 // EG10251 // G7164 // EG11002 // EG12302 // EG10650 // EG10032 // EG20257 // EG12381 // EG10660 // EG10661 // EG11031 // EG11887	PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7187	EG11418 // EG10572 // EG10251 // G7164 // EG11002 // EG12302 // EG10650 // EG10032 // EG11417	PWY-7187	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-7206	EG10572 // EG10251 // G7164 // G6954	PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7183	EG11332	PWY-7183	pyrimidine nucleobases salvage I
PWY-7194	EG11326 // EG11332	PWY-7194	pyrimidine nucleobases salvage II
PWY0-1295	EG10137 // EG11045 // EG12159 // EG10220	PWY0-1295	pyrimidine ribonucleosides degradation
PWY-7193	EG10137 // EG11701	PWY-7193	pyrimidine ribonucleosides salvage I
PWY-6556	EG10137 // EG11082 // G6358 // EG12030	PWY-6556	pyrimidine ribonucleosides salvage II
PWY-7195	G6358 // EG12030 // EG11082 // EG11326	PWY-7195	pyrimidine ribonucleosides salvage III
PWY0-1550	G7243 // G7244	PWY0-1550	PyrSR Two-Component Signal Transduction System
PYRUVDEHYD-PWY	EG10025 // EG10543 // EG10024	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I
PWY-7545	EG10754 // EG10173 // EG10174 // G0-10441 // G0-10594	PWY-7545	pyruvate to cytochrome <i>bd</i> oxidase electron transfer
PWY-7544	EG10754 // EG10181 // EG10178 // EG10179 // EG10180	PWY-7544	pyruvate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1470	G7575 // EG12658	PWY0-1470	QseBC Two-Component Signal Transduction System, quorum sensing related
PWY-6700	G7452 // EG10996 // EG10812 // G7843	PWY-6700	queuosine biosynthesis I (<i>de novo</i>)
PWY0-1493	EG10822 // EG10821 // EG12385	PWY0-1493	Rcs Signal Transduction System
RIBOKIN-PWY	EG10818 // EG10355 // EG10817	RIBOKIN-PWY	ribose phosphorylation
PWY0-1497	G6864 // EG11233	PWY0-1497	RstBA Two-Component Signal Transduction System
SAM-PWY	EG10589	SAM-PWY	S-adenosyl-L-methionine biosynthesis
PWY-6151	EG11090 // EG12712 // EG10587 // EG10584 // EG10589	PWY-6151	<i>S</i>-adenosyl-L-methionine salvage I
PWY0-1391	EG11090	PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV
PWY0-181	EG10137 // EG10219 // EG12159 // EG10994	PWY0-181	salvage pathways of pyrimidine deoxyribonucleotides
PWY0-163	EG11332 // EG10650 // EG10032 // EG11045 // EG12159 // EG10137 // EG11326 // EG11701 // EG11265	PWY0-163	salvage pathways of pyrimidine ribonucleotides
PWY0-1517	EG10699 // EG10282	PWY0-1517	sedoheptulose bisphosphate bypass
PWY-5194	EG10188	PWY-5194	siroheme biosynthesis
BSUBPOLYAMSYN-PWY	EG10963 // EG10962	BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
PWY0-1353	EG10934 // EG10933 // EG10932 // EG10931 // EG10173 // EG10174 // G0-10441 // G0-10594	PWY0-1353	succinate to cytochrome <i>bd</i> oxidase electron transfer
PWY0-1329	EG10934 // EG10933 // EG10932 // EG10931 // EG10181 // EG10178 // EG10179 // EG10180	PWY0-1329	succinate to cytochrome <i>bo</i> oxidase electron transfer
PWY-5340	EG10186 // EG10194 // EG10185	PWY-5340	sulfate activation for sulfonation
PWY-7446	EG11846 // EG11847 // EG11848 // EG11845	PWY-7446	sulfoquinovose degradation I
DETOX1-PWY	EG10953 // EG10954 // G6886 // EG10509 // EG10511 // EG11692	DETOX1-PWY	superoxide radicals degradation
KDO-NAGLIPASYN-PWY	EG10520 // EG10546 // EG11409 // EG12666 // EG10316 // EG10265 // EG10545 // EG10464 // G7241 // EG10614 // EG10519 // G7663 // EG10518 // G7662 // EG10973 // EG50003	KDO-NAGLIPASYN-PWY	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis
4AMINOBUTMETAB-PWY	G6811 // EG10036 // EG11329	4AMINOBUTMETAB-PWY	superpathway of 4-aminobutanoate degradation
PWY-6277	EG10799 // EG10794 // EG10792 // EG10797 // EG10798 // EG11809	PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
ACETATEUTIL-PWY	EG11448 // EG10027 // EG20173 // G7288	ACETATEUTIL-PWY	superpathway of acetate utilization and formation
PWY-6126	EG10790 // EG11314 // EG10032 // EG10660 // EG10661 // EG20257 // EG12381 // EG10650 // EG11417 // EG11031 // EG11887 // G7401	PWY-6126	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II
COBALSYN-PWY	EG12150 // G6349 // EG12151 // EG13238 // EG10130	COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I
ARG+POLYAMINE-SYN	EG10959 // EG10960 // EG10961 // EG10962 // EG10963 // EG10131 // G6094 // EG10068 // EG11223 // EG10069 // EG10067 // EG10135 // EG10134 // EG10063 // EG10064 // EG10065 // EG10066 // EG10361 // EG11286	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis
COMPLETE-ARO-PWY	EG10074 // EG10079 // EG10080 // EG10078 // EG10075 // EG10073 // EG10082 // EG10081 // EG10077 // EG10076 // EG11026 // EG11028 // EG11027 // EG11024 // EG11025 // EG10497 // EG11040 // EG10096 // EG10707 // EG11039	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis
GLUCUROCAT-PWY	EG20248 // EG11066 // EG12253 // EG10256 // G81 // EG11055	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronosides degradation
BRANCHED-CHAIN-AA-SYN-PWY	EG11577 // G6986 // EG11040 // EG11226 // EG11576 // EG11575 // EG10496 // EG10497 // EG10495 // EG10500 // EG10499 // G8221 // EG10501 // EG10493	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis
ALL-CHORISMATE-PWY	EG11369 // G6365 // EG11324 // EG11143 // EG11333 // EG11396 // EG11370 // EG10017 // EG10508 // EG10074 // EG10079 // EG10080 // EG10078 // EG10075 // EG10073 // EG10082 // EG10081 // EG10077 // EG10076 // EG11026 // EG11028 // EG11027 // EG11024 // EG11025 // EG10497 // EG11040 // EG10096 // EG10707 // EG11039 // EG10259 // EG12221 // EG10247 // EG10262 // EG10263 // EG12437 // EG11532 // EG10579 // EG12438 // EG11368 // G6912 // EG11880 // EG11473 // EG50011 // EG10327 // EG10326 // G6862 // EG11374 // EG11673 // EG11138 // EG11375 // EG10683 // EG10682 // EG11493 // EG10260 // EG10264	ALL-CHORISMATE-PWY	superpathway of chorismate metabolism
PANTOSYN-PWY	EG11746 // G6239 // EG10495 // EG11675 // EG10922 // EG11190 // EG12312 // EG10004 // EG11747	PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)
GLUCARGALACTSUPER-PWY	G7445 // EG10016 // EG11176 // EG12522 // EG11175 // G6283	GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation
PWY-8227	EG11455 // EG11456 // EG11978 // EG11454 // EG11453 // EG11452 // EG11451 // EG11458 // G7800 // EG10840 // EG11486 // EG11457	PWY-8227	superpathway of enterobacterial common antigen biosynthesis
PWY0-881	EG11317 // EG11647 // EG10217 // EG10277 // EG10273 // EG11284 // EG11318 // EG10274 // EG12606 // EG11528 // EG50003	PWY0-881	superpathway of fatty acid biosynthesis I (E. coli)
FASYN-INITIAL-PWY	EG11317 // EG11647 // EG10217 // EG12606 // EG10274 // EG10277 // EG50003	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation
FUC-RHAMCAT-PWY	EG10348 // EG10350 // EG10349 // EG10355 // EG11866 // EG11868 // EG11867 // EG11865 // EG10035 // EG11963 // EG10351	FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation
GLYCOL-GLYOXDEG-PWY	EG11583 // EG11175 // G6283 // EG20080 // G7545 // G7544 // G0-8601 // EG10035 // EG10351	GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation
GLYCOLYSIS-E-D	EG10256 // EG10257 // EG10803 // EG10804 // EG10258 // EG12296 // EG10703 // EG10367 // EG11015 // EG10282 // G7129 // EG10700 // EG10699 // G7463 // EG10702 // EG10759 // EG10283 // EG11517 // EG11239 // EG11245 // EG11699 // EG10787 // EG10165 // EG10569 // EG10568 // EG10567 // EG10115 // EG11221 // G6397	GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS	EG10023 // EG10022 // EG10948 // EG10576 // EG10358 // EG10357 // EG10356 // G6903 // EG11162 // EG10982 // EG10981 // EG10979 // EG10980 // EG10489 // EG10402 // EG11325 // EG12316 // EG10934 // EG10933 // EG10932 // EG10931 // EG12069 // EG10803 // EG10804 // EG10258 // EG12296 // EG10703 // EG10367 // EG11015 // EG10282 // G7129 // EG10700 // EG10699 // G7463 // EG10702 // EG10759 // EG10283 // EG11517 // EG11239 // EG11245 // EG11699 // EG10787 // EG10165 // EG10569 // EG10568 // EG10567 // EG10115 // EG10024 // EG10025 // EG10543	GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
TCA-GLYOX-BYPASS	EG10023 // EG10022 // EG10948 // EG10576 // EG10358 // EG10357 // EG10356 // G6903 // EG11162 // EG10982 // EG10981 // EG10979 // EG10980 // EG10543 // EG10489 // EG10402 // EG11325 // EG12316 // EG10934 // EG10933 // EG10932 // EG10931 // EG12069	TCA-GLYOX-BYPASS	superpathway of glyoxylate bypass and TCA
PWY-6579	EG10414 // EG20098 // EG10222 // G85 // EG12159 // EG11102	PWY-6579	superpathway of guanine and guanosine salvage
PWY-6125	EG10421 // EG10420 // EG10965 // EG10660 // EG10661 // EG11417 // EG20257 // EG12381 // EG10650 // EG10032 // EG11031 // EG11887 // G7401	PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
PWY0-1415	EG11836 // EG11543 // EG10431 // EG12189 // EG11485	PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III
HEXITOLDEGSUPER-PWY	EG10616 // EG10971 // EG12768 // EG12419 // EG12417 // EG12416 // EG12415 // EG12414 // EG10803 // EG10804 // EG10258 // EG12296 // EG10703 // EG10367 // EG11015 // EG10282 // G7129 // EG10700 // EG10699 // EG10759 // EG10283 // EG11517 // EG11239 // EG11245 // EG10727 // EG11699	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)
GALACT-GLUCUROCAT-PWY	EG12734 // EG11065 // EG20248 // EG11066 // EG12253 // EG10256 // G81 // EG11055	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
PRPP-PWY	EG10447 // EG10446 // EG10445 // EG10450 // EG10448 // EG10444 // EG10451 // EG10449 // EG10794 // EG10792 // EG10797 // EG10798 // EG11809 // EG10791 // EG10795 // EG10793 // EG10796 // EG10421 // EG10420 // EG10965 // EG10790 // EG11314 // EG10660 // EG10661 // EG20257 // EG12381 // EG11417 // EG10135 // EG10134 // EG10805 // EG10811 // EG10806 // EG10808 // EG10809 // EG10807 // EG11539 // EG10650 // EG10032 // EG10810 // EG10774 // EG11031 // EG11887 // G7401	PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis
PWY0-1061	EG10497 // EG10107 // G7325 // G6906 // G7184 // G7242 // G1	PWY0-1061	superpathway of L-alanine biosynthesis
ORNARGDEG-PWY	EG11501 // EG10960 // G6811 // EG11329 // EG10964 // G6755 // G7596 // G6645 // EG10036 // EG11822 // G6644	ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation
ARGDEG-PWY	G6645 // EG11822 // G6644 // EG11501 // EG10960 // G6811 // EG11329 // G6755 // EG10036 // G7596	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
PWY0-1325	EG10091 // EG10092	PWY0-1325	superpathway of L-asparagine biosynthesis
ASPASN-PWY	EG10096 // EG10091 // EG10092 // EG10046 // EG10045 // EG12407 // EG10095	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis
METSYN-PWY	EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564 // EG10088 // EG10590	METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis
P4-PWY	EG10999 // EG11000 // EG10096 // EG10209 // EG10549 // EG10208 // EG10066 // EG10946 // EG10207 // EG10205 // EG10088 // EG10550 // EG10206 // EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564	P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
SER-GLYSYN-PWY	EG10946 // EG10944 // EG10945 // EG10408	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I
THRESYN-PWY	EG10550 // EG10088 // EG10998 // EG10590 // EG10999 // EG11000 // EG10096	THRESYN-PWY	superpathway of L-threonine biosynthesis
THREOCAT-PWY	G6455 // G7285 // EG10031 // M014 // EG13139 // EG12293 // EG10993 // EG10512 // G7627 // EG10701 // EG20173 // EG11172 // EG10027 // EG10496 // EG10497 // EG10495 // EG10500 // EG10499 // G8221 // EG10501	THREOCAT-PWY	superpathway of L-threonine metabolism
